registry_uid,planned_task_key,base_task_id,normalized_title,title,image,planned_stage,condition,planned_condition,dataset_group,is_anchor,has_expert_ref,init_type,source_pool,manifest_file,manifest_stage_key,import_index,has_prediction,seed,runtime_task_id_available
stage2_calibration_anchor:1,stage2_calibration_anchor:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a:1,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3srwle3va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,1,False,20260228,False
stage2_calibration_anchor:2,stage2_calibration_anchor:7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:2,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3srwle3va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,2,False,20260228,False
stage2_calibration_anchor:10,stage2_calibration_anchor:UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282:10,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,uwv83hsgsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,10,False,20260228,False
stage2_calibration_anchor:5,stage2_calibration_anchor:X7HyMhZNoso_987fd31155514f6facb131bd5c14881d:5,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,x7hymhznoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,5,False,20260228,False
stage2_calibration_anchor:6,stage2_calibration_anchor:Z6MFQCViBuw_22fff6c74efb476592569c18718feb41:6,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,z6mfqcvibuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/Z6MFQCViBuw_22fff6c74efb476592569c18718feb41.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,6,False,20260228,False
stage2_calibration_anchor:12,stage2_calibration_anchor:q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4:12,q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4,q9vso1vncic_a6560bae311a403a9bfe94e4c1c645f4,q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,12,False,20260228,False
stage2_calibration_anchor:8,stage2_calibration_anchor:q9vSo1VnCiC_f1b83e2b5e5244db844ceaa471eb0db0:8,q9vSo1VnCiC_f1b83e2b5e5244db844ceaa471eb0db0,q9vso1vncic_f1b83e2b5e5244db844ceaa471eb0db0,q9vSo1VnCiC_f1b83e2b5e5244db844ceaa471eb0db0.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_f1b83e2b5e5244db844ceaa471eb0db0.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,8,False,20260228,False
stage2_calibration_anchor:4,stage2_calibration_anchor:uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359:4,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,unb9qfrl6hy_aed830f085ee4ad88ef6bed7f66f1359,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,4,False,20260228,False
stage2_calibration_anchor:9,stage2_calibration_anchor:uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341:9,uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341,unb9qfrl6hy_daf1cf81c53b4e439e7e649fa9b41341,uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,9,False,20260228,False
stage2_calibration_anchor:7,stage2_calibration_anchor:wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31:7,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2jmjhgnzb_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,7,False,20260228,False
stage2_calibration_anchor:11,stage2_calibration_anchor:wc2JMjhGNzB_dda6efcba51c40de8552408953719515:11,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2jmjhgnzb_dda6efcba51c40de8552408953719515,wc2JMjhGNzB_dda6efcba51c40de8552408953719515.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_dda6efcba51c40de8552408953719515.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,11,False,20260228,False
stage2_calibration_anchor:3,stage2_calibration_anchor:yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5:3,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuaevhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5.jpg,calibration_manual,manual,manual,Calibration_anchor,True,False,,calibration_anchor,stage2_calibration_manual_anchor_import.json,stage2_calibration_anchor,3,False,20260228,False
stage2_calibration_core:71,stage2_calibration_core:7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e:71,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3srwle3va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,71,False,20260228,False
stage2_calibration_core:67,stage2_calibration_core:B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5:67,B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5,b6bynegpmks_1bf33cdff9a54d65a9be6889eb912fb5,B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,67,False,20260228,False
stage2_calibration_core:23,stage2_calibration_core:B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210:23,B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210,b6bynegpmks_6ef1007d4f8641cfa4102b27787f0210,B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_6ef1007d4f8641cfa4102b27787f0210.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,23,False,20260228,False
stage2_calibration_core:66,stage2_calibration_core:B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2:66,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,b6bynegpmks_b5dcbc0109a344a281d8ae467ccf3fc2,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,66,False,20260228,False
stage2_calibration_core:69,stage2_calibration_core:B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37:69,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,b6bynegpmks_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.jpg,calibration_manual,manual,manual,Calibration_core,False,False,,calibration_core,stage2_calibration_manual_core_import.json,stage2_calibration_core,69,False,20260228,False
