task_id,annotation_id,condition,difficulty,model_issue,reject_reasons
466,89,,trivial;occlusion,acceptable,difficulty_conflict_trivial
471,94,,trivial;reflection,acceptable,difficulty_conflict_trivial
478,97,,trivial;occlusion,acceptable,difficulty_conflict_trivial
479,33,,,,difficulty_empty
479,44,,,,difficulty_empty
480,34,,,,difficulty_empty
480,45,,,corner_drift,difficulty_empty
483,100,,trivial;occlusion,acceptable,difficulty_conflict_trivial
484,101,,trivial;occlusion,acceptable,difficulty_conflict_trivial
486,103,,trivial;occlusion,acceptable,difficulty_conflict_trivial
487,104,,trivial;occlusion,acceptable,difficulty_conflict_trivial
488,105,,trivial;occlusion,acceptable,difficulty_conflict_trivial
491,35,,,,difficulty_empty
491,81,,trivial;occlusion,acceptable,difficulty_conflict_trivial
492,36,,,,difficulty_empty
492,47,,,corner_drift,difficulty_empty
492,82,,trivial;occlusion,acceptable,difficulty_conflict_trivial
493,37,,,,difficulty_empty
494,38,,,,difficulty_empty
495,39,,,,difficulty_empty
496,51,,,corner_drift,difficulty_empty
498,53,,,overextend_adjacent,difficulty_empty
499,66,,,overextend_adjacent;corner_duplicate,difficulty_empty
501,56,,,,difficulty_empty
501,68,,,,difficulty_empty
502,57,,,,difficulty_empty
504,59,,,corner_drift,difficulty_empty
508,62,,,,difficulty_empty
512,112,,trivial;occlusion;reflection,acceptable,difficulty_conflict_trivial
572,168,,trivial;reflection,acceptable,difficulty_conflict_trivial
576,170,,trivial;reflection,acceptable,difficulty_conflict_trivial
584,175,,trivial;reflection,acceptable,difficulty_conflict_trivial
592,181,,trivial;reflection,acceptable,difficulty_conflict_trivial
598,182,,trivial;reflection,acceptable,difficulty_conflict_trivial
643,211,,trivial;reflection,acceptable,difficulty_conflict_trivial
