stage,language_cohort,base_task_id,planned_task_id,import_path,import_sha256,model_version,prediction_count,prediction_payload_sha256,prediction_geometry_hash,initialization_artifact_id,runtime_project_id,runtime_task_id,runtime_export_path,runtime_export_sha256,original_runtime_export_path,original_runtime_export_sha256,runtime_embedded_prediction_match_count,canonical_annotation_count,binding_basis,binding_status,source_presence_interpretation,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized
P1,en,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,synthetic::legacy_disjoint_source_011_corner_drift,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,509c41111a2f853c44ed0cad96738a929bb31167ef0d3bead393ae6a15ccd57e,53d83472e88bbc2f04e55ca4297453aac3b5b0b13e76ac069331161614c3fee4,init:p1:509c41111a2f853c44ed,40,3167,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,505,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,4ba64bd7750a6321df940d65db998bc03abcdadc49b822f1fed132467920163c,919c7cb425e44ca10d454b314c8a2cbba38ba5b9f5a51a4a99a33900444dafe7,init:p1:4ba64bd7750a6321df94,40,3164,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,B6ByNegPMKs_75327de9719945aa8b893a6404667884,synthetic::legacy_disjoint_source_003_corner_drift,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,7546183fb1c73281d9e982caa323bbdeae9cc16d64c600d23bc23cb04f2077cf,3378cee4b4ceb55760b1814f9dd0c90c99a23568c63cf13633e295c915dc39b5,init:p1:7546183fb1c73281d9e9,40,3168,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,c5066d8401c8800d9c88cb31ab054b4b0784055656e3f67529cd4d1314b18883,9d75d27aa8f9fe9a4002f9c774b00506411b78e3673309de414818f3ea6d3b5d,init:p1:c5066d8401c8800d9c88,40,3156,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,synthetic::legacy_disjoint_source_006_corner_duplicate,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,703e49deb5292e3eb97b7a27a87b0d9f977dad658cb7a21f5cde45d4abd82a13,347adbe9d929497f3d3b4d2a6dd39fbd5ab6593dd247f148be5a1b15e3c12d33,init:p1:703e49deb5292e3eb97b,40,3169,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,625,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,bd071297cf74315ad5196f59bf6d50be1d251c6df567e7cf6bb0c12299cab3e5,f6afaf60cf6342f18b88307320378149d34f2a962972015a6b70b7e9e9ba8f95,init:p1:bd071297cf74315ad519,40,3165,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,synthetic::legacy_disjoint_source_008_corner_duplicate,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,c2a1bd5da70ea1873d08e02c7db17204084a64ee5e4f2dfb6972ea51618cd09c,ff3d43fbf7c5cf51bc14dc4580a93550233a6546e8809e56cc6a8fca663e7bc3,init:p1:c2a1bd5da70ea1873d08,40,3170,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,init:p1:5783a1f62c62382528fa,40,3155,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,4ac3b394b83bea208631561e7371e464b74c59ec7eae05db8c71b174b919fc7c,87c0406c61c01b8e0da27ea08d48af3ac37270584053f04d0e99ab11c4537637,init:p1:4ac3b394b83bea208631,40,3157,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
P1,en,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,synthetic::legacy_disjoint_source_007_over_parsing,D:\Work\HOHONET\import_json\stage1_prescreen_foreign_https_20260609\stage1_prescreen_semi_import_v5_foreign_https.json,f01ae11cdfdd2485ae79826dc4e64f438618f958612042150d0d8b24dd1e5f26,HoHoNet_stage1_prescreen_v5,1,88aaac13330e7f6e570532c8e2826ba21b375c8cf6cbd882f54ec9ce3551fda9,09982954a4efcb0989ba2113257f376e4747b4d469b0d7dc292b401e386d29ba,init:p1:88aaac13330e7f6e5705,40,3171,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,12,12,base_task_id+language_cohort+runtime_project/task+canonical_annotation+prediction_payload_sha256,recovered_unique_crosswalk_and_sha,source_present_consumer_previously_unbound,true,true,true,false,false,false
