context_key,image_id,source_group,rows,initial_reference_ospa30,max_abs_edit_minus_final
init:c1:01471fa99ed32205509a,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,recovered_c1_import,4,0,8.881784197e-16
init:c1:0b6413d6a0f3f1c53258,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,recovered_c1_import,4,0,0
init:c1:0d714b6e3f87042ca0e9,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,recovered_c1_import,4,0,0
init:c1:14ca994eec1b3ffad17a,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,recovered_c1_import,4,0,0
init:c1:179b7f0559d5dc6079da,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,recovered_c1_import,4,0,0
init:c1:17b0ea85da4cc3e30b89,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,recovered_c1_import,5,0,0
init:c1:2da8e3e9a425df771319,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,recovered_c1_import,4,0,0
init:c1:4cc2667fa70fdd7cde18,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,recovered_c1_import,4,15,13.9154205202
init:c1:50bc4c35af92dd603906,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,recovered_c1_import,4,0,0
init:c1:558b45e7b03196692282,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,recovered_c1_import,5,0,0
init:c1:5d16518880ebb854033d,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,recovered_c1_import,4,0,0
init:c1:729b96c73dbe1df68262,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,recovered_c1_import,4,0,0
init:c1:790daef3c4725636d613,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,recovered_c1_import,5,0,0
init:c1:7d95e07109dfaddd5de1,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,recovered_c1_import,4,0,8.881784197e-16
init:c1:85b9ff08fb3e86dd83d8,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,recovered_c1_import,4,0,0
init:c1:a31d550f35694bbf96ee,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,recovered_c1_import,5,0,0
init:c1:a84af71ee2c555dff4dd,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,recovered_c1_import,5,0,4.4408920985e-16
init:c1:b5b3feaa796b5cc090a6,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,recovered_c1_import,4,,
init:c1:c128d9e8ac4257262e6a,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,recovered_c1_import,4,0,0
init:c1:c78b37a742bafbe739e8,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,recovered_c1_import,4,0,0
init:c1:ed39ce008aa867c33452,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,recovered_c1_import,5,0,0
init:c1:f21c0b2e4afe5c75ef55,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,recovered_c1_import,4,,
init:c1:fa6330186e864cbf7980,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,recovered_c1_import,4,0,0
init:c1:fcec4324b350e25dba88,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,recovered_c1_import,4,0,0
init:c1:fd022b0a3567629bcfa9,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,recovered_c1_import,4,0,0
init:p1:3b195310f0426a850210,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,trap_natural,26,15.8442533473,15.8442533473
init:p1:3eebc8bd469ed2435ca4,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,trap_natural,26,15.657167495,15.657167495
init:p1:4ac3b394b83bea208631,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,control_natural,26,1.30119038135,1.30119038135
init:p1:4ba64bd7750a6321df94,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,trap_natural,26,12.0934414625,12.0934414625
init:p1:509c41111a2f853c44ed,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,trap_synthetic_disjoint_source,26,11.0545257329,11.0545257329
init:p1:5783a1f62c62382528fa,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,control_natural,26,0.776797937928,0.776797937928
init:p1:66add23370efe2eaf40e,wc2JMjhGNzB_77962388887942148ee65c2892600e02,control_natural,26,0.487579275654,0.487579275654
init:p1:703e49deb5292e3eb97b,Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,trap_synthetic_disjoint_source,26,7.48120879214,7.48120879214
init:p1:7546183fb1c73281d9e9,B6ByNegPMKs_75327de9719945aa8b893a6404667884,trap_synthetic_disjoint_source,26,,
init:p1:7ab830d0acf90ec688d6,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,trap_synthetic_disjoint_source,26,7.71645280589,7.71645280589
init:p1:85d09fc1acdcc7e934d2,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,trap_natural,26,11.3214741883,11.3214741883
init:p1:88aaac13330e7f6e5705,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,trap_synthetic_disjoint_source,26,6.63058645872,6.63058645872
init:p1:9e9132bc6a5ea4532017,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,trap_natural,26,12.8579678754,12.8579678754
init:p1:bd071297cf74315ad519,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,trap_natural,26,4.31738253189,4.31738253189
init:p1:c2a1bd5da70ea1873d08,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,trap_synthetic_disjoint_source,26,6.97776639079,6.97776639079
init:p1:c4fe804ce114a8099d1c,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,control_natural,26,1.76477980924,1.76477980924
init:p1:c5066d8401c8800d9c88,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,control_natural,26,0.948738805372,0.948738805372
init:p1:c99636c7ea6fa0a9fe93,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,control_natural,26,1.50783846516,1.50783846516
