cohort,building,config,fold_id,max_abs_error
with_workers,7y3sRwLe3Va,q_0.975,1,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.975,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.975,3,6.83047368666e-17
with_workers,7y3sRwLe3Va,q_0.975,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.975,5,5.55111512313e-17
with_workers,7y3sRwLe3Va,q_0.975,6,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.950,1,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.950,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.950,3,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.950,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.950,5,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.950,6,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.925,1,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.925,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.925,3,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.925,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.925,5,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.925,6,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.900,1,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.900,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.900,3,6.35342473077e-17
with_workers,7y3sRwLe3Va,q_0.900,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.900,5,0
with_workers,7y3sRwLe3Va,q_0.900,6,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.850,1,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.850,2,5.55111512313e-17
with_workers,7y3sRwLe3Va,q_0.850,3,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.850,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.850,5,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.850,6,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.800,1,2.22044604925e-16
with_workers,7y3sRwLe3Va,q_0.800,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.800,3,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.800,4,6.93889390391e-17
with_workers,7y3sRwLe3Va,q_0.800,5,1.11022302463e-16
with_workers,7y3sRwLe3Va,q_0.800,6,5.55111512313e-17
with_workers,7y3sRwLe3Va,ospa30_t6,1,2.22044604925e-16
with_workers,7y3sRwLe3Va,ospa30_t6,2,1.11022302463e-16
with_workers,7y3sRwLe3Va,ospa30_t6,3,1.11022302463e-16
with_workers,7y3sRwLe3Va,ospa30_t6,4,1.11022302463e-16
with_workers,7y3sRwLe3Va,ospa30_t6,5,1.11022302463e-16
with_workers,7y3sRwLe3Va,ospa30_t6,6,6.66133814775e-16
with_workers,B6ByNegPMKs,q_0.975,1,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.975,2,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.975,3,3.12250225676e-17
with_workers,B6ByNegPMKs,q_0.975,4,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.975,5,1.58293517183e-17
with_workers,B6ByNegPMKs,q_0.975,6,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.950,1,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.950,2,0
with_workers,B6ByNegPMKs,q_0.950,3,2.77555756156e-16
with_workers,B6ByNegPMKs,q_0.950,4,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.950,5,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.950,6,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.925,1,4.16333634234e-17
with_workers,B6ByNegPMKs,q_0.925,2,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.925,3,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.925,4,8.32667268469e-17
with_workers,B6ByNegPMKs,q_0.925,5,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.925,6,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.900,1,9.71445146547e-17
with_workers,B6ByNegPMKs,q_0.900,2,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.900,3,6.93889390391e-17
with_workers,B6ByNegPMKs,q_0.900,4,5.55111512313e-17
with_workers,B6ByNegPMKs,q_0.900,5,6.93889390391e-17
with_workers,B6ByNegPMKs,q_0.900,6,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.850,1,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.850,2,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.850,3,8.32667268469e-17
with_workers,B6ByNegPMKs,q_0.850,4,5.55111512313e-17
with_workers,B6ByNegPMKs,q_0.850,5,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.850,6,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.800,1,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.800,2,1.66533453694e-16
with_workers,B6ByNegPMKs,q_0.800,3,2.22044604925e-16
with_workers,B6ByNegPMKs,q_0.800,4,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.800,5,1.11022302463e-16
with_workers,B6ByNegPMKs,q_0.800,6,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,1,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,2,1.38777878078e-17
with_workers,B6ByNegPMKs,ospa30_t6,3,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,4,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,5,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,6,4.16333634234e-17
with_workers,S9hNv5qa7GM,q_0.975,1,2.22044604925e-16
with_workers,S9hNv5qa7GM,q_0.975,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.950,1,4.4408920985e-16
with_workers,S9hNv5qa7GM,q_0.950,2,2.22044604925e-16
with_workers,S9hNv5qa7GM,q_0.925,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.925,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.900,1,8.32667268469e-17
with_workers,S9hNv5qa7GM,q_0.900,2,8.32667268469e-17
with_workers,S9hNv5qa7GM,q_0.850,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.850,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.800,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.800,2,2.22044604925e-16
with_workers,S9hNv5qa7GM,ospa30_t6,1,1.66533453694e-16
with_workers,S9hNv5qa7GM,ospa30_t6,2,4.4408920985e-16
with_workers,UwV83HsGsw3,q_0.975,1,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.975,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,4,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,8,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.975,16,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,31,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,32,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,47,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.975,55,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,59,2.77555756156e-17
with_workers,UwV83HsGsw3,q_0.975,61,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.975,62,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,1,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,4,6.93889390391e-17
with_workers,UwV83HsGsw3,q_0.950,8,1.11022302463e-16
