task_id,threshold,valid_k,partition_status,structure_status,cluster_count,largest_support,second_support,reason
C1|C1_anchor_all|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,0.9,23,unique,dominant_with_dissent,2,22,1,unique_complete_link_partition
C1|C1_anchor_all|rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,0.9,23,unique,supported_multimodal,2,21,2,unique_complete_link_partition
C1|C1_anchor_all|rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,0.9,23,unique,dominant_with_dissent,2,22,1,unique_complete_link_partition
C1|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,0.9,23,unique,unimodal,1,23,0,unique_complete_link_partition
C1|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,0.9,23,unique,supported_multimodal,7,9,7,unique_complete_link_partition
C1|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,0.9,23,unique,supported_multimodal,4,12,8,unique_complete_link_partition
C1|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,0.9,23,unique,supported_multimodal,7,5,5,unique_complete_link_partition
C1|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,0.9,23,unique,supported_multimodal,6,6,5,unique_complete_link_partition
C1|C1_anchor_all|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,0.9,23,unique,supported_multimodal,5,7,5,unique_complete_link_partition
C1|C1_anchor_all|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,0.9,23,unique,dominant_with_dissent,2,22,1,unique_complete_link_partition
C1|C1_anchor_all|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,0.9,23,unique,supported_multimodal,5,18,2,unique_complete_link_partition
C1|C1_anchor_all|yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,0.9,23,unique,supported_multimodal,3,13,5,unique_complete_link_partition
P1|PreScreen_manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,0.9,25,unique,dominant_with_dissent,2,24,1,unique_complete_link_partition
P1|PreScreen_manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,0.9,25,unique,dominant_with_dissent,2,24,1,unique_complete_link_partition
P1|PreScreen_manual|B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,0.9,24,not_evaluable,not_evaluable,,0,0,non_unique_complete_link_partition
P1|PreScreen_manual|B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,0.9,25,unique,supported_multimodal,2,23,2,unique_complete_link_partition
P1|PreScreen_manual|UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,0.9,24,unique,supported_multimodal,6,12,4,unique_complete_link_partition
P1|PreScreen_manual|UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,0.9,24,not_evaluable,not_evaluable,,0,0,non_unique_complete_link_partition
P1|PreScreen_manual|X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,0.9,25,unique,unimodal,1,25,0,unique_complete_link_partition
P1|PreScreen_manual|b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,0.9,26,not_evaluable,not_evaluable,,0,0,non_unique_complete_link_partition
P1|PreScreen_manual|e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,0.9,24,unique,supported_multimodal,4,11,7,unique_complete_link_partition
P1|PreScreen_manual|q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,0.9,24,unique,unimodal,1,24,0,unique_complete_link_partition
P1|PreScreen_manual|q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,0.9,24,unique,supported_multimodal,9,5,5,unique_complete_link_partition
P1|PreScreen_manual|q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,0.9,25,unique,dominant_with_dissent,2,24,1,unique_complete_link_partition
P1|PreScreen_manual|q9vSo1VnCiC_e74e843601574864a14517f990c748a0,0.9,25,unique,supported_multimodal,3,22,2,unique_complete_link_partition
P1|PreScreen_manual|rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,0.9,25,not_evaluable,not_evaluable,,0,0,non_unique_complete_link_partition
P1|PreScreen_manual|rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,0.9,25,unique,supported_multimodal,4,20,3,unique_complete_link_partition
P1|PreScreen_manual|rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,0.9,25,unique,supported_multimodal,2,23,2,unique_complete_link_partition
P1|PreScreen_manual|rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,0.9,23,unique,supported_multimodal,9,8,5,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,0.9,25,unique,supported_multimodal,5,16,6,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,0.9,25,unique,supported_multimodal,7,11,4,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,0.9,24,unique,supported_multimodal,6,12,8,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,0.9,25,unique,dominant_with_dissent,4,22,1,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,0.9,25,unique,dominant_with_dissent,4,22,1,unique_complete_link_partition
P1|PreScreen_manual|uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,0.9,25,unique,dominant_with_dissent,3,23,1,unique_complete_link_partition
P1|PreScreen_manual|wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,0.9,24,unique,unimodal,1,24,0,unique_complete_link_partition
P1|PreScreen_manual|wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,0.9,24,unique,dominant_with_dissent,2,23,1,unique_complete_link_partition
P1|PreScreen_manual|x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,0.9,24,unique,dominant_with_dissent,4,21,1,unique_complete_link_partition
P1|PreScreen_manual|yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,0.9,25,unique,dominant_with_dissent,2,24,1,unique_complete_link_partition
P1|PreScreen_manual|yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,0.9,24,unique,supported_multimodal,8,8,4,unique_complete_link_partition
P1|PreScreen_manual|yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,0.9,24,unique,supported_multimodal,11,9,3,unique_complete_link_partition
P1|PreScreen_manual|yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,0.9,25,unique,dominant_with_dissent,2,24,1,unique_complete_link_partition
