stage,condition,dataset_group,base_task_id,selected_support,distinct_workers,even_point_candidate_support,strict_valid_support,strict_invalid_support,all_selected_pair_count,strict_pair_count,boundary_metric_pair_count,wall_metric_pair_count,metric_pair_coverage_over_all_selected,boundary_distance_mean,boundary_distance_median,boundary_distance_q90,wall_distance_mean,wall_distance_median,wall_distance_q90,vertical_boundary_count_disagreement,selected_point_counts_json,strict_vertical_boundary_counts_json,strict_boundary_count_diverse
C1,manual,C1_anchor_all,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,23,23,23,23,0,253,253,253,253,1.0,0.011003371092163238,0.006325339513929662,0.027098624451145636,0.011922366610738639,0.005496536796536722,0.02418177797434773,0.08695652173913043,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",True
C1,manual,C1_anchor_all,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,23,23,23,23,0,253,253,253,253,1.0,0.009226610127568827,0.007769539008127713,0.015487573363455631,0.01119052273894472,0.00904666276183308,0.024280415227621924,0.16600790513833993,"[8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",True
C1,manual,C1_anchor_all,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,23,23,23,23,0,253,253,253,253,1.0,0.011999526280647457,0.01029871731328702,0.02154992310206064,0.006675131405440014,0.005343911701304105,0.010561403164644378,0.08695652173913043,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",True
C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,23,23,23,23,0,253,253,253,253,1.0,0.011540258453763436,0.006452424350076091,0.02065791250095393,0.005081192657504678,0.0045622703956893496,0.008668410072786514,0.0,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",False
C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,23,23,23,23,0,253,253,253,253,1.0,0.036798460070723495,0.036683396048230454,0.05188603208557481,0.05052973594631758,0.045077486184828874,0.08863305307990797,0.758893280632411,"[14, 16, 14, 12, 12, 14, 16, 8, 10, 16, 14, 22, 12, 14, 16, 10, 14, 16, 16, 16, 16, 14, 16]","[7, 8, 7, 6, 6, 7, 8, 4, 5, 8, 7, 11, 6, 7, 8, 5, 7, 8, 8, 8, 8, 7, 8]",True
C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,23,23,23,23,0,253,253,253,253,1.0,0.013674322151365721,0.014601679675246726,0.02223125142036273,0.021371345930336197,0.027714132891480614,0.03915496599240004,0.6245059288537549,"[12, 8, 8, 8, 14, 8, 8, 8, 8, 12, 14, 10, 8, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8]","[6, 4, 4, 4, 7, 4, 4, 4, 4, 6, 7, 5, 4, 4, 6, 6, 4, 4, 6, 6, 6, 6, 4]",True
C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,23,23,23,23,0,253,253,253,253,1.0,0.036241555973036944,0.027184327441645895,0.07503124977835428,0.03305052286110367,0.03455693247945735,0.059382484450111434,0.8458498023715415,"[18, 14, 8, 12, 10, 14, 12, 8, 14, 12, 12, 18, 8, 14, 18, 8, 14, 16, 16, 16, 16, 8, 16]","[9, 7, 4, 6, 5, 7, 6, 4, 7, 6, 6, 9, 4, 7, 9, 4, 7, 8, 8, 8, 8, 4, 8]",True
C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,23,23,23,23,0,253,253,253,253,1.0,0.024060186067406737,0.02201726180934671,0.03890017037169065,0.02762640817568796,0.025299289533435743,0.04516409909909914,0.8379446640316206,"[16, 14, 12, 12, 12, 16, 18, 10, 18, 10, 18, 16, 10, 16, 16, 18, 16, 20, 20, 20, 20, 18, 20]","[8, 7, 6, 6, 6, 8, 9, 5, 9, 5, 9, 8, 5, 8, 8, 9, 8, 10, 10, 10, 10, 9, 10]",True
C1,manual,C1_anchor_all,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,23,23,23,23,0,253,253,253,253,1.0,0.04645215951350244,0.046508880693038934,0.0713211517991591,0.04359114143761888,0.04304970486319093,0.0769054061687434,0.8102766798418972,"[8, 12, 8, 10, 14, 10, 14, 10, 14, 10, 10, 14, 8, 8, 12, 12, 8, 8, 16, 8, 16, 12, 12]","[4, 6, 4, 5, 7, 5, 7, 5, 7, 5, 5, 7, 4, 4, 6, 6, 4, 4, 8, 4, 8, 6, 6]",True
C1,manual,C1_anchor_all,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,23,23,23,23,0,253,253,253,253,1.0,0.01689309404085887,0.015441775327976859,0.0287145802537913,0.03368912855229189,0.031384766085134186,0.05904440104665809,0.08695652173913043,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",True
