analysis_domain,metric,estimate,unit,n_rows,n_tasks,n_workers,source,interpretation_boundary
geometry_variance,task_share,65.251614,percent,2168,205,26,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,task/image stable component under fitted crossed model
geometry_variance,worker_share,2.753519,percent,2168,205,26,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,worker main effect only;not all human contribution
geometry_variance,residual_share,31.994866,percent,2168,205,26,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,mixes item-by-worker response measurement error and omitted factors
quality_variance,task_share,55.989893,percent,717,79,23,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,reference-relative quality;not unique visible-image truth
quality_variance,worker_share,2.913481,percent,717,79,23,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,worker main effect only
quality_variance,residual_share,41.096626,percent,717,79,23,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,mixes interaction measurement error and omitted factors
active_time_variance,task_share,11.556254,percent,2069,214,24,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,formal active time only;not lead time
active_time_variance,worker_share,51.717838,percent,2069,214,24,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,large worker-specific pace component
active_time_variance,residual_share,36.725909,percent,2069,214,24,analysis_results/full_uncertainty_data_mining_20260821_v5/CROSSED_TASK_WORKER_VARIANCE_COMPONENTS.csv,mixes item-by-worker effort and other variation
worker_tendency,largest_mode_rate_heterogeneity_variance,0.013516900,observed_variance,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_VIEWPOINT_TESTS.CSV,permutation_p=0.0009995;not correctness or cause
worker_tendency,supported_minority_rate_heterogeneity_variance,0.001673147,observed_variance,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_VIEWPOINT_TESTS.CSV,permutation_p=0.898551;no detected stable tendency
worker_tendency,task_centered_pair_count_heterogeneity_variance,0.153597737,observed_variance,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_VIEWPOINT_TESTS.CSV,permutation_p=0.0009995;more-or-fewer structure tendency only
worker_stability,manual_split_half_largest_mode_rate_spearman_median,0.256868,spearman_rho,1000,,,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_VIEWPOINT_TESTS.CSV,IQR=0.148634-0.360078;random task halves;not test-retest
worker_time_profile,task_adjusted_active_time_median,122.998229,seconds,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV,IQR=65.395221-165.082661;range=11.048526-401.786608
worker_time_quality_association,T_active_task_adjusted_vs_Q_GT_EB,-0.287408,spearman_rho,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV,descriptive worker aggregate;p=0.194650;not a capability relation
worker_time_quality_association,T_active_task_adjusted_vs_R_peer_stable,-0.158667,spearman_rho,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV,descriptive worker aggregate;p=0.480647;not a capability relation
worker_time_quality_association,T_active_task_adjusted_vs_F_struct_EB,-0.011513,spearman_rho,,,22,analysis_results/full_uncertainty_data_mining_20260821_v5/WORKER_FACT.CSV,descriptive worker aggregate;p=0.959445;not a capability relation
rq1_time_association,D_mask_vs_task_median_formal_active_time,0.243879473,spearman_rho,84,84,22,analysis_results/rq1_stratified_uncertainty_20260827_v1/formal_c1_time_associations.csv,C1 task-level;building bootstrap CI=0.030899-0.372050;post-response association
rq1_time_association,worker_FE_LOO_disagreement_vs_log1p_active_time,0.197894483,within_worker_correlation,594,84,22,analysis_results/rq1_stratified_uncertainty_20260827_v1/formal_c1_time_associations.csv,descriptive within-worker association;focal geometry excluded from predictor;not causal
