cohort,pool,metric,fine_label,workers,theoretical_history_with_two_validation,images_any,images_four_people,images_five_people,images_six_people
all26,all_initializations,ospa30,1.1,3,1,124,0,0,0
all26,all_initializations,ospa30,1.2,10,8,192,91,81,76
all26,all_initializations,ospa30,2.1,7,5,161,73,69,57
all26,all_initializations,ospa30,2.2,6,4,176,78,74,73
all26,all_initializations,ospa60,1.1,3,1,124,0,0,0
all26,all_initializations,ospa60,1.2,10,8,196,94,82,75
all26,all_initializations,ospa60,2.1,6,4,165,76,69,27
all26,all_initializations,ospa60,2.2,7,5,175,80,74,73
all26,without_synthetic,ospa30,1.1,3,1,124,0,0,0
all26,without_synthetic,ospa30,1.2,10,8,192,91,81,76
all26,without_synthetic,ospa30,2.1,7,5,161,73,69,57
all26,without_synthetic,ospa30,2.2,6,4,176,78,74,73
all26,without_synthetic,ospa60,1.1,3,1,124,0,0,0
all26,without_synthetic,ospa60,1.2,10,8,196,94,82,75
all26,without_synthetic,ospa60,2.1,7,5,165,76,69,57
all26,without_synthetic,ospa60,2.2,6,4,175,80,74,73
current20,all_initializations,ospa30,1.1,2,0,124,0,0,0
current20,all_initializations,ospa30,1.2,8,6,186,88,77,75
current20,all_initializations,ospa30,2.1,5,3,173,74,73,0
current20,all_initializations,ospa30,2.2,5,3,169,77,73,0
current20,all_initializations,ospa60,1.1,2,0,124,0,0,0
current20,all_initializations,ospa60,1.2,8,6,187,82,77,75
current20,all_initializations,ospa60,2.1,4,2,160,73,0,0
current20,all_initializations,ospa60,2.2,6,4,176,78,74,73
current20,without_synthetic,ospa30,1.1,2,0,124,0,0,0
current20,without_synthetic,ospa30,1.2,8,6,186,88,77,75
current20,without_synthetic,ospa30,2.1,5,3,173,74,73,0
current20,without_synthetic,ospa30,2.2,5,3,169,77,73,0
current20,without_synthetic,ospa60,1.1,2,0,124,0,0,0
current20,without_synthetic,ospa60,1.2,8,6,187,82,77,75
current20,without_synthetic,ospa60,2.1,4,2,160,73,0,0
current20,without_synthetic,ospa60,2.2,6,4,176,78,74,73
