p1_package,p1_import_order,base_task_id,gt_inner_id,gt_project20_task_id,figure_path,status,height_ratio_used,combined_rmse_px,combined_mean_abs_px,combined_max_abs_px
P1_manual,29,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,256,2740,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_29_gt256_rPc6DW4iMge_fbc169773c954580baea6d2798c0d486_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8273788452148436,110.2254221809973,53.97158624189248,252.98234218950395
P1_manual,11,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,101,2585,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_11_gt101_e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7042825877666472,90.82044040251677,60.99302600681651,160.8430784418685
P1_manual,6,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,75,2559,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_06_gt75_yqstnuAEVhm_e3face7b2196414d95ed97151aa13058_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8850479841232297,88.56235635485098,67.10317534504755,165.28147208909536
P1_manual,28,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,253,2737,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_28_gt253_uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5854653537273404,50.56502269004064,41.74187432535238,110.20041979391507
P1_manual,25,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,238,2722,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_25_gt238_b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5530181825160976,50.15295695226955,36.7124984701018,140.68822866351007
P1_manual,2,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,12,2496,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_02_gt12_UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.673564960790235,37.20101186937805,31.277539780255978,114.538561107102
P1_manual,13,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,106,2590,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_13_gt106_uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6123486399650571,30.017486655787895,20.876177568267448,86.54422118601704
P1_semi,2,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,43,2527,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_02_gt43_X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7834475854548012,26.463136905837118,17.542617656983698,60.25728450507063
P1_semi,9,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,210,2694,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_09_gt210_rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.844020742177963,20.75856677270411,11.198938839037545,68.90953988340151
P1_manual,20,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,177,2661,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_20_gt177_q9vSo1VnCiC_e74e843601574864a14517f990c748a0_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6132392346858975,18.49503302197159,9.585968983346678,69.68430260987095
P1_manual,22,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,218,2702,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_22_gt218_q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4_ls_image_gt_vs_bilayout_allmix_full.png,ok,1.0992785930633544,14.481378705620964,9.364820785985556,98.7145516323094
P1_manual,21,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,212,2696,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_21_gt212_x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5400717198848722,13.546557893305925,4.2474027541672426,71.83769228955379
P1_semi,3,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,110,2594,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_03_gt110_e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5986690461635588,9.074506441806793,5.660360858090618,42.898789811082736
P1_manual,15,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,111,2595,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_15_gt111_uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.647494441270828,3.6251865012973115,2.5203198807781044,9.998555641052747
P1_manual,27,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,249,2733,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_27_gt249_yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8946901023387906,1.7637288727314162,0.5917110446481191,9.003126627731888
P1_semi,12,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,19,2503,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_12_gt19_uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5845752862783576,0.39952013800785274,0.2591008318841742,1.1693745090591392
P1_semi,10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,47,2531,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_10_gt47_B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.969141662120819,0.021458121269318665,0.012391813202443328,0.07271038477387037
P1_manual,26,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,239,2723,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_26_gt239_rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8706419013353625,0.0032510556933309036,0.002705023611288597,0.011848515338897414
P1_manual,30,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,259,2743,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_30_gt259_uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6724276602268217,0.0031976729670887267,0.001902948851924137,0.03666833963723093
P1_semi,6,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,118,2602,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_06_gt118_wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5559860229492183,0.0031269516051032286,0.0027630022324631742,0.00484687447720944
P1_semi,16,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,235,2719,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_16_gt235_e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5145863115787505,0.002990158932454244,0.002582628202461454,0.00516723796192764
P1_semi,13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,268,2752,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_13_gt268_7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8555113673210143,0.002890910718994092,0.002596004043920394,0.004463155969972377
P1_semi,14,B6ByNegPMKs_75327de9719945aa8b893a6404667884,282,2766,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_14_gt282_B6ByNegPMKs_75327de9719945aa8b893a6404667884_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9080176949501036,0.002875951590795275,0.002544625266311676,0.0048305431843687074
P1_semi,18,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,11,2495,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_18_gt11_q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103_ls_image_gt_vs_bilayout_allmix_full.png,ok,1.1460907161235807,0.002820123889051614,0.0025730878808115296,0.004665216484525558
P1_manual,4,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,51,2535,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_04_gt51_wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5981045484542843,0.0028011873042000676,0.0024425321309093986,0.005036706636587951
