annotator_id,core_scene,n_annotations,n_model_usable,mean_iou_m,mean_active_time,r_u_s,r_u_s_lcb,core_scene_rule_version,activation_status,degeneration_status
1,occlusion|acceptable,49,45,1.0,10.239408163265306,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
1,occlusion|over_parsing,7,7,1.0,29.237285714285715,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
1,oos::oos_geometry,5,0,,28.407600000000002,,,scene_proxy_top4_v1,not_activated,fallback_global
1,oos::oos_open_boundary,1,0,,22.678,,,scene_proxy_top4_v1,not_activated,fallback_global
1,oos::oos_split_level,1,0,,7.978,,,scene_proxy_top4_v1,not_activated,fallback_global
1,other,4,4,1.0,31.83975,1.0,1.0,scene_proxy_top4_v1,not_activated,fallback_global
1,reflection|acceptable,8,6,1.0,14.22175,1.0,1.0,scene_proxy_top4_v1,activated,scene_specific
2,low_quality|corner_duplicate,1,0,,117.0,,,scene_proxy_top4_v1,not_activated,fallback_global
2,occlusion|acceptable,1,1,1.0,22.0,1.0,1.0,scene_proxy_top4_v1,not_activated,fallback_global
2,occlusion|corner_drift,4,1,0.9681299724752364,20.75,0.9681299724752364,0.9681299724752364,scene_proxy_top4_v1,not_activated,fallback_global
2,oos::oos_split_level,2,0,,34.5,,,scene_proxy_top4_v1,not_activated,fallback_global
2,other,6,1,0.8718425685583179,273.5,0.8718425685583179,0.8718425685583179,scene_proxy_top4_v1,not_activated,fallback_global
3,occlusion|acceptable,1,0,,22.0,,,scene_proxy_top4_v1,not_activated,fallback_global
3,occlusion|corner_drift,4,2,0.9791546364738997,45.25,0.9791546364738997,0.9734003431625438,scene_proxy_top4_v1,activated,scene_specific
3,oos::oos_split_level,3,0,,32.333333333333336,,,scene_proxy_top4_v1,not_activated,fallback_global
3,other,8,5,0.7943599304141451,43.625,0.8329934895081764,0.6158968797660306,scene_proxy_top4_v1,not_activated,fallback_global
4,low_texture|overextend_adjacent,1,0,,33.0,,,scene_proxy_top4_v1,not_activated,fallback_global
4,occlusion|corner_drift,3,1,0.8453549668037589,28.333333333333332,0.8453549668037589,0.8453549668037589,scene_proxy_top4_v1,not_activated,fallback_global
4,oos::oos_split_level,1,0,,95.0,,,scene_proxy_top4_v1,not_activated,fallback_global
4,other,4,3,0.8128779956921023,42.75,0.9220578210928426,0.5976724970053398,scene_proxy_top4_v1,not_activated,fallback_global
