estimand_scope,fold,base_task_id,building_id,condition,policy,replicate_support,order_signature_support,candidate_permutation_n,stop_at_3_probability,incremental_stop_at_4_probability,reach5_probability,cap_resolved_probability,historical_counterfactual_support_shortfall_probability,unresolved_probability,policy_failure_probability,autonomous_non_delivery_probability,expert_escalation_probability,status_probability_fixed_k5,mean_historical_candidates_examined,mean_frozen_geometry_submissions_used,mean_raw_structural_failure_attempts,mean_repair_required_attempts,mean_current_normalizer_invalid_attempts,mean_formal_replacement_candidates_used,mean_frozen_geometry_submission_savings_vs_f0,mean_historical_candidates_examined_savings_vs_f0,mean_public_gt_quality,mean_reference_evaluable_autonomous_delivery_quality,mean_paired_complete_case_quality_delta_vs_f0,mean_reference_evaluable_autonomous_delivery_mitt_delta_vs_f0,instability_probability,corner_count_change_probability,mean_continuous_geometry_delta_vs_f0,selected_structural_invalidity_probability,selected_repair_probability,selected_current_normalizer_evaluable_probability,selected_formal_replacement_probability,selected_output_probability,supported_multimodality_probability,selected_output_replicate_support,raw_attempt_replicate_support,paid_valid_replicate_support,complete_case_quality_replicate_support,reference_evaluable_autonomous_delivery_replicate_support,paired_cost_replicate_support,paired_complete_case_quality_replicate_support,paired_reference_evaluable_autonomous_delivery_replicate_support,paired_instability_replicate_support,paired_corner_count_replicate_support,paired_geometry_delta_replicate_support,selected_structural_invalidity_replicate_support,autonomous_non_delivery_replicate_support,expert_escalation_replicate_support,paired_rows_status,status
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.8273930469565495,0.8273930469565495,,,,,,0.0,0.0,1.0,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8325023163530082,0.8325023163530082,0.005109269396458743,0.005109269396458743,0.687,0.0,0.00931441421608043,0.0,0.0,1.0,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,M1,1000,120,5,0.405,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595,3.595,0.0,0.0,0.0,0.0,1.405,1.405,0.8310069395551772,0.8310069395551772,0.0036138925986277754,0.0036138925986277754,0.486,0.0,0.0035417144999988627,0.0,0.0,1.0,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.8170038437484628,0.8170038437484628,,,,,,0.0,0.0,1.0,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.663207619691282,0.663207619691282,-0.1537962240571809,-0.1537962240571809,0.718,0.3,0.03599609902861369,0.0,0.0,1.0,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,M1,1000,120,5,0.082,0.307,0.611,0.0,0.0,0.611,0.0,0.611,0.611,0.0,4.529,4.529,0.0,0.0,0.0,0.0,0.471,0.471,0.8170038437484628,0.317814495218152,0.0,-0.4991893485303108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.389,0.611,389,1000,1000,389,1000,1000,389,1000,389,389,389,389,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,,,0.8213698127306455,0.8213698127306455,,,,,,0.0,0.0,1.0,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,M0_corner_count_gate_geometry_medoid,1000,120,5,0.708,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.292,3.292,0.0,0.0,0.0,0.69,1.708,1.708,0.8185399814776264,0.8185399814776264,-0.0028298312530190147,-0.0028298312530190147,0.285,0.0,0.0007731069889802017,0.0,0.0,1.0,0.0,1.0,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,M1,1000,120,5,0.11,0.311,0.579,0.0,0.0,0.579,0.0,0.579,0.579,0.0,4.469,4.469,0.0,0.0,0.0,1.0,0.531,0.531,0.8213698127306455,0.34579669115960177,0.0,-0.4755731215710437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.421,0.0,421,1000,1000,421,1000,1000,421,1000,421,421,421,421,1000,1000,paired_same_task_replicate_order,development_descriptive_only
historical_population_replay_78,policy_development_simulation,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,F0,1000,120,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.9676446818632537,0.9676446818632537,,,,,,0.0,0.0,1.0,0.0,1.0,,1000,1000,1000,1000,1000,0,0,0,0,0,0,1000,1000,1000,baseline_same_order,development_descriptive_only
