analysis,assumed_true_delta,assumed_true_harm,design,empirical_task_sd,interpretation,margin,maximum_events_allowed,n_audit,n_live,n_stop,probability
quality_noninferiority_empirical_delta,-0.0008903714918769612,,balanced_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.005,,118,63,,0.9994235970941128
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,balanced_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.005,,118,63,,0.9998
quality_noninferiority_empirical_delta,-0.0008903714918769612,,balanced_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.01,,118,63,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,balanced_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.01,,118,63,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,balanced_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.0125,,118,63,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,balanced_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.0125,,118,63,,1.0
quality_noninferiority_empirical_delta,-0.0008903714918769612,,balanced_20,0.008568075346888629,conditional normal-approximation operating characteristic; not actual Main success probability,0.015,,118,63,,1.0
quality_plus_count_joint_empirical_bootstrap,-0.0008903714918769612,,balanced_20,0.008568075346888629,"historical task-bootstrap for quality NI plus submission-count superiority only; excludes expert harm, replacement, availability and deployment shift",0.015,,118,63,,1.0
submission_count_superiority,1.0624358974358974,,balanced_20,0.7832175990909599,conditional normal-approximation operating characteristic for frozen-geometry submission count only,,,118,63,,1.0
exact_5pct_safety_gate__audit_shadow,,0.005,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,118,63,75,0.6866430931872002
exact_5pct_safety_gate__audit_shadow,,0.01,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,118,63,75,0.4705866415856502
exact_5pct_safety_gate__audit_shadow,,0.015,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,118,63,75,0.3218972654465741
exact_5pct_safety_gate__audit_shadow,,0.02,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,118,63,75,0.2197635575874394
exact_5pct_safety_gate__audit_shadow,,0.03,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,0,118,63,75,0.10183101437903967
exact_5pct_safety_gate__live_actual,,0.005,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,118,63,40,0.0
exact_5pct_safety_gate__live_actual,,0.01,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,118,63,40,0.0
exact_5pct_safety_gate__live_actual,,0.015,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,118,63,40,0.0
exact_5pct_safety_gate__live_actual,,0.02,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,118,63,40,0.0
exact_5pct_safety_gate__live_actual,,0.03,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,-1,118,63,40,0.0
exact_5pct_safety_gate__common_policy_combined,,0.005,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,1,118,63,114,0.8882239231504875
exact_5pct_safety_gate__common_policy_combined,,0.01,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,1,118,63,114,0.6841582888230064
exact_5pct_safety_gate__common_policy_combined,,0.015,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,1,118,63,114,0.48848678103903076
exact_5pct_safety_gate__common_policy_combined,,0.02,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,1,118,63,114,0.33247894922195764
exact_5pct_safety_gate__common_policy_combined,,0.03,balanced_20,,scenario exact-binomial operating characteristic; expert-validated harm is currently not identifiable,,1,118,63,114,0.14049811331169806
