autonomous_non_delivery_probability,base_task_id,building_id,candidate_n,corner_count_change_probability,expert_escalation_probability,incremental_stop_at_4_probability,instability_probability,mean_continuous_geometry_delta,mean_k,mean_mitt_delta_vs_f0,mean_public_gt_quality,mean_quality_delta_vs_f0,mean_savings_vs_f0,policy,reach5_probability,replicate_support,selected_formal_replacement_probability,selected_output_probability,selected_repair_probability,selected_structural_invalidity_probability,stop_at_3_probability,supported_multimodality_probability
0.0,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.8273930469565495,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,0.0,0.0,0.595,0.486,0.0035417144999988627,3.595,0.0036138925986277754,0.8310069395551772,0.0036138925986277754,1.405,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.405,0.0
0.0,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.8170038437484628,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,5,0.0,0.0,0.307,0.0,0.0,4.529,0.0,0.8170038437484628,0.0,0.471,TG_EF5,0.611,1000,0.0,1.0,0.0,0.0,0.082,0.611
0.0,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.8213698127306455,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,5,0.0,0.0,0.311,0.0,0.0,4.469,0.0,0.8213698127306455,0.0,0.531,TG_EF5,0.579,1000,0.0,1.0,0.0,0.0,0.11,0.0
0.0,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.9676446818632537,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,0.0,0.0,0.325,0.0,0.0,4.473,0.0,0.9676446818632537,0.0,0.527,TG_EF5,0.574,1000,0.0,1.0,0.0,0.0,0.101,0.0
0.0,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.9722104498395593,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,0.0,0.0,0.0,0.467,0.0041200132249339435,3.0,-0.01364279444850993,0.9585676553910494,-0.01364279444850993,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,,0.0,0.0,,,5.0,,0.9521166408435916,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,0.0,0.0,0.608,0.481,0.0014065640573203008,3.608,0.001780475323778437,0.95389711616737,0.001780475323778437,1.392,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.392,0.0
0.0,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.7339369477473546,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,0.0,0.0,0.595,0.235,0.0011083734438916315,3.595,-0.01400793217908959,0.719929015568265,-0.01400793217908959,1.405,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.405,0.0
0.0,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.9772891002806026,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,0.0,0.0,0.0,0.697,0.004039909367505987,3.0,-0.013183157052362787,0.9641059432282397,-0.013183157052362787,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.8462045667304327,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,5,0.0,0.0,0.587,0.51,0.0018433964834670214,3.587,0.007785335048489358,0.853989901778922,0.007785335048489358,1.413,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.413,0.0
0.0,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.9596907408557411,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,0.0,0.0,0.323,0.0,0.0,4.495,0.0,0.9596907408557411,0.0,0.505,TG_EF5,0.586,1000,0.0,1.0,0.0,0.0,0.091,0.0
0.0,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.5644452228741571,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,5,0.0,0.0,0.0,0.625,0.004050726333823111,3.0,-0.01950668184604607,0.544938541028111,-0.01950668184604607,2.0,TG_EF5,0.0,1000,0.314,1.0,0.0,0.0,1.0,0.0
0.0,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,,0.0,0.0,,,5.0,,0.7823755160349148,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,0.0,0.0,0.0,0.481,0.007858785770219968,3.0,0.04602993368756822,0.8284054497224831,0.04602993368756822,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,5,,0.0,0.0,,,5.0,,0.7895818639798489,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7895818639798489,0.0,0.0,TG_EF5,1.0,1000,0.0,1.0,0.0,0.0,0.0,1.0
0.0,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,22,,0.0,0.0,,,5.0,,0.9831622522425717,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,22,0.0,0.0,0.224,0.555,0.0029432485988855777,3.27,-0.0024451378047235187,0.9807171144378481,-0.0024451378047235187,1.73,TG_EF5,0.023,1000,0.0,1.0,0.0,0.0,0.753,0.0
0.0,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,,0.0,0.0,,,5.0,,0.8264746565439073,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,0.0,0.0,0.307,0.0,0.0,4.499,0.0,0.8264746565439073,0.0,0.501,TG_EF5,0.596,1000,0.0,1.0,0.0,0.0,0.097,0.596
0.0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,,0.0,0.0,,,5.0,,0.9434515514678559,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,0.0,0.0,0.611,0.507,0.007691781669833284,3.611,-0.008531834174816028,0.9349197172930398,-0.008531834174816028,1.389,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.389,0.0
0.0,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,,0.0,0.0,,,5.0,,0.9167732608294712,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,0.0,0.0,0.288,0.0,0.0,4.514,0.0,0.9167732608294712,0.0,0.486,TG_EF5,0.613,1000,0.0,1.0,0.0,0.0,0.099,0.0
0.0,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,,0.0,0.0,,,5.0,,0.971907530079762,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,0.0,0.0,0.0,0.722,0.0042095075293733675,3.0,-0.025553171701016147,0.9463543583787459,-0.025553171701016147,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,,0.0,0.0,,,5.0,,0.9922360167751927,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,0.0,0.0,0.0,0.488,0.0032348628308247283,3.0,-0.01396995756075284,0.9782660592144399,-0.01396995756075284,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,,0.0,0.0,,,5.0,,0.9148327464788732,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,0.0,0.0,0.0,0.402,0.0005411209475143053,3.0,0.0005835373917500735,0.9154162838706233,0.0005835373917500735,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,,0.0,0.0,,,5.0,,0.9596837318523213,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,0.0,0.0,0.585,0.238,0.0,3.585,0.0,0.9596837318523213,0.0,1.415,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.415,0.0
0.0,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,5,,0.0,0.0,,,5.0,,0.6935251080396471,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,5,0.0,0.0,0.294,0.0,0.0,4.484,0.0,0.6935251080396471,0.0,0.516,TG_EF5,0.595,1000,0.0,1.0,0.0,0.0,0.111,0.595
0.0,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,5,,0.0,0.0,,,5.0,,0.9338308115179087,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,5,0.0,0.0,0.0,0.579,0.0033683791540979756,3.0,0.009081801962904815,0.9429126134808136,0.009081801962904815,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,5,,0.0,0.0,,,5.0,,0.7268648687618192,,,F0_FROZEN_BOUND,1.0,1000,1.0,1.0,0.0,0.0,0.0,
0.0,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,5,0.0,0.0,0.0,0.61,0.013744349736612954,3.0,0.02391815982979556,0.7507830285916147,0.02391815982979556,2.0,TG_EF5,0.0,1000,0.39,1.0,0.0,0.0,1.0,0.0
0.0,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,5,,0.0,0.0,,,5.0,,0.8631223502044798,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,5,0.0,0.0,0.0,0.607,0.005736716861415583,3.0,0.0022690660075511747,0.865391416212031,0.0022690660075511747,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.9760386257848187,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,0.0,0.0,0.0,0.9,0.006613054981261327,3.0,-0.017564335188886775,0.9584742905959319,-0.017564335188886775,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.9423779468227864,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,0.0,0.0,0.295,0.0,0.0,4.527,0.0,0.9423779468227864,0.0,0.473,TG_EF5,0.616,1000,0.0,1.0,0.0,0.0,0.089,0.0
0.0,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.8453553711870536,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,0.0,0.0,0.0,0.405,0.0006265722283981981,3.0,-0.0006435675896241386,0.8447118035974295,-0.0006435675896241386,2.0,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,1.0,0.0
0.0,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.9083113586595558,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,5,0.0,0.0,0.0,0.709,0.0032356149085314813,3.0,-0.004129589864607329,0.9041817687949485,-0.004129589864607329,2.0,TG_EF5,0.0,1000,0.323,1.0,0.0,0.0,1.0,0.0
0.0,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.9398474857637947,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
0.0,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,0.0,0.0,0.57,0.747,0.006109019720010485,3.57,-0.010731142903365106,0.9291163428604297,-0.010731142903365106,1.43,TG_EF5,0.0,1000,0.0,1.0,0.0,0.0,0.43,0.0
0.0,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,5,,0.0,0.0,,,5.0,,0.6693853073463268,,,F0_FROZEN_BOUND,1.0,1000,0.0,1.0,0.0,0.0,0.0,
