cohort,metric,k,method,horizon,images,buildings,supported_image_splits,valid_tv_image_splits,start_n,end_n,start_tv,end_tv,last_step_tv_change
all26,ospa30,2,A,4,109,17,2064,1396,2,4,0.3853384117702506,0.35308006763756095,-0.014979608432095504
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195
all26,ospa30,2,AAB,6,1,1,20,17,3,6,0.38235294117647056,0.392156862745098,0.009803921568627416
all26,ospa30,2,AB,4,1,1,20,20,2,4,0.5125,0.5125,0.0
all26,ospa30,2,ALL,4,108,17,2064,1345,2,4,0.3960959938020347,0.36412558903656583,-0.013324773602042761
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083
all26,ospa30,2,ALL,8,76,15,1509,842,2,8,0.41708848442126795,0.34464845951978307,-0.004576938600252822
all26,ospa30,2,ALL,12,66,14,1458,800,2,12,0.45569721282485004,0.3638019548610406,0.0016885070620281661
all26,ospa30,3,A,4,60,11,1220,1078,2,4,0.29444324194324195,0.27438545251045254,-0.00448516761016754
all26,ospa30,3,A,6,12,2,260,189,2,6,0.2679281135531135,0.24146443833943834,-0.007006715506715472
all26,ospa30,3,A,8,6,1,108,67,2,8,0.18162393162393164,0.15705128205128205,-0.005799755799755807
all26,ospa30,3,ALL,4,110,17,2064,1345,2,4,0.3987963043889146,0.3690714935081705,-0.015317190271500414
all26,ospa30,3,ALL,6,93,15,1787,1080,2,6,0.43346431159421656,0.3697666832868567,-0.009084481689185242
all26,ospa30,3,ALL,8,79,15,1496,833,2,8,0.42817851210526364,0.35388802418610366,-0.003933037196921618
all26,ospa30,3,ALL,12,67,15,1444,793,2,12,0.44251305109971545,0.346874307731695,0.0011628338425157536
all26,ospa30,3,B,4,92,15,1766,1287,2,4,0.45053633242470714,0.39878493473047705,-0.021836582880076394
all26,ospa30,3,B,6,82,15,1521,1066,2,6,0.44254643669433585,0.3690296410284739,-0.010412589758341362
all26,ospa30,3,B,8,72,15,1444,1004,2,8,0.4573928135641721,0.3761879211846182,-0.0013194220511430488
all26,ospa30,3,B,12,20,2,350,202,2,12,0.4020549245339161,0.3102149834292691,-0.006395028874020436
all26,ospa60,2,A,4,113,18,2064,1634,2,4,0.3895176486108205,0.3554852245336452,-0.014746023397718355
all26,ospa60,2,A,6,96,16,1803,1377,2,6,0.4162425824876748,0.35172720184278206,-0.007992401244882819
all26,ospa60,2,A,8,81,16,1509,1108,2,8,0.4039564948848858,0.3270017478145104,-0.005135945776408968
all26,ospa60,2,A,12,71,16,1458,1062,2,12,0.42017652624861135,0.32905641861572665,-0.00031067709180576664
all26,ospa60,2,ALL,4,113,18,2064,1619,2,4,0.40855477017747144,0.3737285957453982,-0.013260348295094315
all26,ospa60,2,ALL,6,96,16,1803,1362,2,6,0.44020352997778334,0.37386897023858373,-0.0074492776623201196
all26,ospa60,2,ALL,8,81,16,1509,1093,2,8,0.43113905057164587,0.35278758752078354,-0.004581857559811053
all26,ospa60,2,ALL,12,71,16,1458,1047,2,12,0.45048813176526764,0.35475951345981127,-0.0007957085392299446
all26,ospa60,3,A,4,71,13,1397,1289,2,4,0.33824111418008257,0.32079750194911827,-0.005938710163932104
all26,ospa60,3,A,6,17,3,340,305,2,6,0.3226890756302521,0.2779036336756925,-0.00327050264550266
all26,ospa60,3,A,8,13,2,253,225,2,8,0.29803658963585433,0.2395325630252101,-0.003628951580632228
all26,ospa60,3,A,12,6,1,120,109,2,12,0.24797794117647057,0.170812908496732,-0.0019812091503267903
all26,ospa60,3,ALL,4,113,18,2070,1641,2,4,0.39578348900405974,0.3645099777690048,-0.014138834411178414
all26,ospa60,3,ALL,6,96,16,1782,1356,2,6,0.4313817955835345,0.36409007795158865,-0.008723589557572797
all26,ospa60,3,ALL,8,82,16,1491,1089,2,8,0.4145394230094751,0.33977965002282046,-0.00516995462890435
all26,ospa60,3,ALL,12,70,16,1444,1050,2,12,0.4270177117282152,0.32623660144189653,-0.0003199803266648593
all26,ospa60,3,B,4,87,15,1623,1344,2,4,0.45023745477132254,0.4000712226687649,-0.0199174025646065
all26,ospa60,3,B,6,76,15,1405,1145,2,6,0.44124606870288474,0.3721696367530868,-0.008587917930705069
all26,ospa60,3,B,8,60,14,1200,952,2,8,0.4444032145884088,0.36469389791701406,-0.0021545069618839063
all26,ospa60,3,B,12,13,1,190,127,2,12,0.49993660185967875,0.43121419179111486,-0.0032045945507483964
current20,ospa30,2,A,4,54,11,1068,930,2,4,0.3716398515505658,0.3609886806315378,-0.0036576683898112416
current20,ospa30,2,A,6,13,1,260,206,2,6,0.49772118906734286,0.40907650042265425,-0.010791067906452512
current20,ospa30,2,AAB,6,53,11,1060,840,3,6,0.3979615711485493,0.3857589111186423,-0.012202660029906998
current20,ospa30,2,AB,4,86,16,1634,1208,2,4,0.40153244578940805,0.37501691602038323,-0.026515529769024826
current20,ospa30,2,AB,6,82,16,1504,1100,2,6,0.4008360866765351,0.36242202655884204,-0.010936540038586295
current20,ospa30,2,AB,8,54,11,1063,738,2,8,0.4493034508307065,0.3979101438452943,-0.006381678750099762
current20,ospa30,2,AB,12,13,1,260,148,2,12,0.5775335775335775,0.45488400488400493,-0.012960927960927904
current20,ospa30,2,ALL,4,101,18,1953,1347,2,4,0.40467700943271506,0.36645985635164824,-0.01239406860253589
current20,ospa30,2,ALL,6,94,16,1660,1076,2,6,0.4423510004528843,0.37368395653914904,-0.012901472895689048
current20,ospa30,2,ALL,8,72,16,1462,898,2,8,0.42629069476087966,0.3484671695226542,0.0001929118040406852
current20,ospa30,2,ALL,12,71,15,1460,896,2,12,0.454710074411605,0.36273477058341,-0.001457006400342853
current20,ospa30,2,B,4,86,16,1631,1252,2,4,0.4685446735360568,0.4119889716977263,-0.019754511130889774
current20,ospa30,2,B,6,74,16,1467,1088,2,6,0.46153111038267286,0.38672894611175856,-0.001611414337976902
current20,ospa30,2,B,8,60,15,1200,870,2,8,0.47108291985791984,0.3743401132817799,-0.003580363155363142
current20,ospa30,3,A,4,40,10,800,716,2,4,0.35633686914936913,0.3507304385429385,-0.0014435795685796005
current20,ospa30,3,ALL,4,101,18,1941,1350,2,4,0.41143409712021545,0.3722836061188388,-0.012194457084249044
current20,ospa30,3,ALL,6,94,16,1621,1058,2,6,0.4486432769963251,0.38014113903985064,-0.010718755347812525
current20,ospa30,3,ALL,8,72,16,1463,915,2,8,0.4323506051240426,0.34303825651551656,-0.004563638737048292
current20,ospa30,3,ALL,12,71,15,1448,905,2,12,0.4600628676878677,0.35292113858730917,-0.0008445228796509774
current20,ospa30,3,B,4,78,16,1514,1203,2,4,0.4185475029132023,0.36813668687738627,-0.020818748395013298
current20,ospa30,3,B,6,73,16,1460,1149,2,6,0.42604923910002035,0.3604819589650319,-0.002372384174467501
current20,ospa30,3,B,8,54,14,1080,837,2,8,0.4070722916303273,0.330645721589918,-0.005308200928417772
current20,ospa30,3,C,4,13,1,260,211,2,4,0.6182539682539683,0.5920838420838421,0.003510378510378609
current20,ospa30,3,C,6,13,1,260,211,2,6,0.6182539682539683,0.5809010434010434,-0.007049709549709515
current20,ospa60,2,A,4,37,5,716,629,2,4,0.3399878747795414,0.3033305776014109,-0.007877535273368597
current20,ospa60,2,A,6,24,3,420,347,2,6,0.33246302308802306,0.26911375661375664,-0.005599446849446799
current20,ospa60,2,A,8,14,2,280,217,2,8,0.31484375,0.23576388888888888,0.0040674603174603585
current20,ospa60,2,A,12,14,2,280,217,2,12,0.31484375,0.2236979166666666,0.0007970328282828065
current20,ospa60,2,AAB,6,18,3,360,318,3,6,0.3978556574144809,0.37449919361684064,-0.02335646379764028
current20,ospa60,2,AB,4,64,14,1247,1125,2,4,0.41714524323664365,0.3820594242328265,-0.03508581900381713
current20,ospa60,2,AB,6,50,13,932,828,2,6,0.4008643336439389,0.3628763080243343,-0.013591892391234539
current20,ospa60,2,AB,8,18,3,360,300,2,8,0.45056531872008065,0.3806027966742252,-0.009501763668430363
current20,ospa60,2,AB,12,7,1,125,114,2,12,0.42708333333333337,0.37559523809523804,-0.0029365079365079594
current20,ospa60,2,ALL,4,103,18,1960,1577,2,4,0.4009193284414548,0.36944540454149966,-0.010435752296055811
current20,ospa60,2,ALL,6,96,16,1638,1277,2,6,0.43660988554863867,0.38073124065595476,-0.008753568483753305
current20,ospa60,2,ALL,8,74,16,1462,1110,2,8,0.4281093003657576,0.34520334879580333,-0.0024144796419389714
current20,ospa60,2,ALL,12,73,16,1445,1093,2,12,0.4369820682229005,0.3379722213933789,-0.0011661266887960098
current20,ospa60,2,B,4,75,14,1404,1186,2,4,0.47422227234569236,0.429432489911686,-0.010843390512124684
current20,ospa60,2,B,6,62,14,1201,1000,2,6,0.46483428542357114,0.4043245630031344,-0.0013737994809423504
current20,ospa60,2,B,8,52,13,1040,845,2,8,0.4764557712176055,0.3961294014581736,-0.003235225508735673
current20,ospa60,3,A,4,26,4,520,467,2,4,0.34711681547619044,0.324125744047619,-0.005884176587301615
current20,ospa60,3,A,6,7,1,125,115,2,6,0.3738095238095238,0.330952380952381,-0.007619047619047581
current20,ospa60,3,ALL,4,103,18,1941,1573,2,4,0.4059730302893199,0.3668668058167225,-0.014537073529181876
