cohort,metric,k,method,total_image_splits,supported_image_splits,supported_images,supported_buildings,max_supported_history,distinct_history_sizes
all26,ospa30,2,A,4280,2657,161,20,16,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
all26,ospa30,2,AAB,4280,540,27,13,6,"[3, 6]"
all26,ospa30,2,AB,4280,540,27,13,4,"[2, 4]"
all26,ospa30,2,ALL,4280,2663,161,20,17,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]"
all26,ospa30,2,B,4280,20,1,1,2,[2]
all26,ospa30,3,A,4280,1384,75,15,14,"[2, 3, 4, 5, 6, 7, 8, 14]"
all26,ospa30,3,AABC,4280,440,22,11,4,[4]
all26,ospa30,3,ABC,4280,520,26,12,3,[3]
all26,ospa30,3,ALL,4280,2707,161,20,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
all26,ospa30,3,B,4280,2124,128,17,14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
all26,ospa30,3,C,4280,0,0,0,0,[]
all26,ospa60,2,A,4280,2661,161,20,16,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
all26,ospa60,2,AAB,4280,540,27,13,3,[3]
all26,ospa60,2,AB,4280,540,27,13,2,[2]
all26,ospa60,2,ALL,4280,2661,161,20,17,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]"
all26,ospa60,2,B,4280,0,0,0,0,[]
all26,ospa60,3,A,4280,1565,83,16,14,"[2, 3, 4, 5, 6, 7, 8, 9, 14]"
all26,ospa60,3,AABC,4280,540,27,13,4,[4]
all26,ospa60,3,ABC,4280,540,27,13,3,[3]
all26,ospa60,3,ALL,4280,2723,161,20,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
all26,ospa60,3,B,4280,1987,121,17,12,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12]"
all26,ospa60,3,C,4280,0,0,0,0,[]
current20,ospa30,2,A,4280,1562,84,16,7,"[2, 3, 4, 7]"
current20,ospa30,2,AAB,4280,1532,83,16,9,"[3, 6, 9]"
current20,ospa30,2,AB,4280,1921,117,18,12,"[2, 4, 6, 8, 12]"
current20,ospa30,2,ALL,4280,2508,161,20,13,"[2, 3, 4, 5, 6, 7, 8, 12, 13]"
current20,ospa30,2,B,4280,1947,124,18,10,"[2, 3, 4, 5, 6, 8, 9, 10]"
current20,ospa30,3,A,4280,1238,65,15,4,"[2, 3, 4]"
current20,ospa30,3,AABC,4280,1201,62,15,4,[4]
current20,ospa30,3,ABC,4280,1266,65,15,3,[3]
current20,ospa30,3,ALL,4280,2564,161,20,13,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13]"
current20,ospa30,3,B,4280,1842,107,17,8,"[2, 3, 4, 5, 6, 7, 8]"
current20,ospa30,3,C,4280,312,20,1,6,"[2, 3, 6]"
current20,ospa60,2,A,4280,1614,85,16,12,"[2, 3, 4, 5, 6, 12]"
current20,ospa60,2,AAB,4280,1519,78,16,9,"[3, 6, 9]"
current20,ospa60,2,AB,4280,1800,104,18,12,"[2, 4, 6, 8, 10, 12]"
current20,ospa60,2,ALL,4280,2528,161,20,13,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13]"
current20,ospa60,2,B,4280,1667,105,16,10,"[2, 3, 4, 5, 6, 8, 9, 10]"
current20,ospa60,3,A,4280,1538,79,16,6,"[2, 3, 4, 5, 6]"
current20,ospa60,3,AABC,4280,1474,75,16,4,[4]
current20,ospa60,3,ABC,4280,1526,78,16,3,[3]
current20,ospa60,3,ALL,4280,2583,161,20,13,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13]"
current20,ospa60,3,B,4280,1880,109,17,9,"[2, 3, 4, 5, 7, 8, 9]"
current20,ospa60,3,C,4280,0,0,0,0,[]
