candidate,building,codes,scene_counts,manual_counts,semi_counts,outside_low_count_targets,zero_saved_targets,one_two_targets,new_to_all_english_targets,difficulty_similarity,old_priority,review_state,has_high_history,room_views,overlap_note,image_ids
G001,2t7WUuJeko7,"[""2t7WUuJeko7-01"", ""2t7WUuJeko7-11"", ""2t7WUuJeko7-13"", ""2t7WUuJeko7-14""]","{""卧室"": 4}","[0, 0, 1, 0]","[0, 0, 0, 0]","[""2t7WUuJeko7-01"", ""2t7WUuJeko7-11"", ""2t7WUuJeko7-13"", ""2t7WUuJeko7-14""]","[""2t7WUuJeko7-01"", ""2t7WUuJeko7-11"", ""2t7WUuJeko7-14""]","[""2t7WUuJeko7-13""]","[""2t7WUuJeko7-01"", ""2t7WUuJeko7-11"", ""2t7WUuJeko7-13"", ""2t7WUuJeko7-14""]",预期相近,优先候选,explicit_confirmed,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""2t7WUuJeko7_073656b4030d4389ba7f304298be1d73"", ""2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847"", ""2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a"", ""2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a""]"
G063,X7HyMhZNoso,"[""X7HyMhZNoso-02"", ""X7HyMhZNoso-21"", ""X7HyMhZNoso-22"", ""X7HyMhZNoso-25""]","{""卧室"": 4}","[0, 0, 0, 0]","[0, 0, 0, 0]","[""X7HyMhZNoso-02"", ""X7HyMhZNoso-21"", ""X7HyMhZNoso-22"", ""X7HyMhZNoso-25""]","[""X7HyMhZNoso-02"", ""X7HyMhZNoso-21"", ""X7HyMhZNoso-22"", ""X7HyMhZNoso-25""]",[],"[""X7HyMhZNoso-02"", ""X7HyMhZNoso-21"", ""X7HyMhZNoso-22"", ""X7HyMhZNoso-25""]",预期相近,优先候选,viewed_per_user_statement,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583"", ""X7HyMhZNoso_e40ff9839f0b4a35a25e9dc16d391ae4"", ""X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329"", ""X7HyMhZNoso_f03d055128104fd486151e54c9e4a32a""]"
G068,X7HyMhZNoso,"[""X7HyMhZNoso-08"", ""X7HyMhZNoso-11"", ""X7HyMhZNoso-12"", ""X7HyMhZNoso-23""]","{""起居与休闲"": 4}","[0, 0, 0, 0]","[0, 0, 0, 0]","[""X7HyMhZNoso-08"", ""X7HyMhZNoso-11"", ""X7HyMhZNoso-12"", ""X7HyMhZNoso-23""]","[""X7HyMhZNoso-08"", ""X7HyMhZNoso-11"", ""X7HyMhZNoso-12"", ""X7HyMhZNoso-23""]",[],"[""X7HyMhZNoso-08"", ""X7HyMhZNoso-11"", ""X7HyMhZNoso-12"", ""X7HyMhZNoso-23""]",预期相近,优先候选,viewed_per_user_statement,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c"", ""X7HyMhZNoso_445ae0203f294b5c9889505576e37998"", ""X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9"", ""X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b""]"
G130,pa4otMbVnkk,"[""pa4otMbVnkk-02"", ""pa4otMbVnkk-13"", ""pa4otMbVnkk-20"", ""pa4otMbVnkk-42"", ""pa4otMbVnkk-44""]","{""厨房与用餐"": 5}","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[""pa4otMbVnkk-02"", ""pa4otMbVnkk-13"", ""pa4otMbVnkk-20"", ""pa4otMbVnkk-42"", ""pa4otMbVnkk-44""]","[""pa4otMbVnkk-02"", ""pa4otMbVnkk-13"", ""pa4otMbVnkk-20""]","[""pa4otMbVnkk-42"", ""pa4otMbVnkk-44""]","[""pa4otMbVnkk-02"", ""pa4otMbVnkk-13"", ""pa4otMbVnkk-20""]",预期相近,基础候选,explicit_confirmed,False,5,候选子集可能互有重叠，不计为独立房间总数,"[""pa4otMbVnkk_0e800fa7378b455a8054fbd02497fa6e"", ""pa4otMbVnkk_5cd7afbe84aa4a13a13b45c369e39731"", ""pa4otMbVnkk_78863f388bfc4e419e5d3454f1fecf3f"", ""pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6"", ""pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1""]"
G222,wc2JMjhGNzB,"[""wc2JMjhGNzB-18"", ""wc2JMjhGNzB-38"", ""wc2JMjhGNzB-57"", ""wc2JMjhGNzB-65""]","{""卧室"": 4}","[0, 0, 0, 0]","[24, 0, 0, 0]","[""wc2JMjhGNzB-18"", ""wc2JMjhGNzB-38"", ""wc2JMjhGNzB-57"", ""wc2JMjhGNzB-65""]","[""wc2JMjhGNzB-38"", ""wc2JMjhGNzB-57"", ""wc2JMjhGNzB-65""]",[],"[""wc2JMjhGNzB-38"", ""wc2JMjhGNzB-57"", ""wc2JMjhGNzB-65""]",预期相近,优先候选,viewed_per_user_statement,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c"", ""wc2JMjhGNzB_72cf693eb66c4a8a8062080763f50a09"", ""wc2JMjhGNzB_d5138c0f63414e1fb5147c9436968940"", ""wc2JMjhGNzB_eae0ac9f6c5b4764a91c789f14a8c2eb""]"
G234,x8F5xyUWy9e,"[""x8F5xyUWy9e-02"", ""x8F5xyUWy9e-06"", ""x8F5xyUWy9e-07"", ""x8F5xyUWy9e-08""]","{""特殊用途"": 4}","[0, 0, 0, 5]","[0, 0, 0, 0]","[""x8F5xyUWy9e-02"", ""x8F5xyUWy9e-06"", ""x8F5xyUWy9e-07"", ""x8F5xyUWy9e-08""]","[""x8F5xyUWy9e-02"", ""x8F5xyUWy9e-06"", ""x8F5xyUWy9e-07""]",[],"[""x8F5xyUWy9e-02"", ""x8F5xyUWy9e-06"", ""x8F5xyUWy9e-07""]",预期相近,优先候选,viewed_per_user_statement,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""x8F5xyUWy9e_2669f5ba693c4e729d7d2c4f3fa0a077"", ""x8F5xyUWy9e_61dabfb7fecf4f328ad300a6f4b96037"", ""x8F5xyUWy9e_9077f8ffceb943808934837db41e5616"", ""x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d""]"
G004,2t7WUuJeko7,"[""2t7WUuJeko7-08"", ""2t7WUuJeko7-15"", ""2t7WUuJeko7-16""]","{""卫浴"": 3}","[0, 0, 0]","[0, 0, 0]","[""2t7WUuJeko7-08"", ""2t7WUuJeko7-15"", ""2t7WUuJeko7-16""]","[""2t7WUuJeko7-08"", ""2t7WUuJeko7-15"", ""2t7WUuJeko7-16""]",[],"[""2t7WUuJeko7-08"", ""2t7WUuJeko7-15"", ""2t7WUuJeko7-16""]",预期相近,优先候选,explicit_discussion,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820"", ""2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc"", ""2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134""]"
G042,S9hNv5qa7GM,"[""S9hNv5qa7GM-02"", ""S9hNv5qa7GM-14"", ""S9hNv5qa7GM-22""]","{""厨房与用餐"": 3}","[0, 0, 0]","[0, 0, 0]","[""S9hNv5qa7GM-02"", ""S9hNv5qa7GM-14"", ""S9hNv5qa7GM-22""]","[""S9hNv5qa7GM-02"", ""S9hNv5qa7GM-14"", ""S9hNv5qa7GM-22""]",[],"[""S9hNv5qa7GM-02"", ""S9hNv5qa7GM-14"", ""S9hNv5qa7GM-22""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""S9hNv5qa7GM_181c56d99ddd42ba8d4be09dbb135381"", ""S9hNv5qa7GM_b14dbfea048449aa8b8934cbf491a10a"", ""S9hNv5qa7GM_ed7387d968874f4bbe512395b64405af""]"
G091,e9zR4mvMWw7,"[""e9zR4mvMWw7-04"", ""e9zR4mvMWw7-18"", ""e9zR4mvMWw7-35""]","{""通行与连接"": 3}","[0, 0, 0]","[0, 0, 0]","[""e9zR4mvMWw7-04"", ""e9zR4mvMWw7-18"", ""e9zR4mvMWw7-35""]","[""e9zR4mvMWw7-04"", ""e9zR4mvMWw7-18"", ""e9zR4mvMWw7-35""]",[],"[""e9zR4mvMWw7-04"", ""e9zR4mvMWw7-18"", ""e9zR4mvMWw7-35""]",预期相近,优先候选,viewed_per_user_statement,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd"", ""e9zR4mvMWw7_4984fc9f1fdf4ff7887430f71b9ae392"", ""e9zR4mvMWw7_cd47116ee6264bc691811409bf779f34""]"
G106,jh4fc5c5qoQ,"[""jh4fc5c5qoQ-05"", ""jh4fc5c5qoQ-08"", ""jh4fc5c5qoQ-15""]","{""卧室"": 3}","[0, 0, 0]","[0, 0, 0]","[""jh4fc5c5qoQ-05"", ""jh4fc5c5qoQ-08"", ""jh4fc5c5qoQ-15""]","[""jh4fc5c5qoQ-05"", ""jh4fc5c5qoQ-08"", ""jh4fc5c5qoQ-15""]",[],"[""jh4fc5c5qoQ-05"", ""jh4fc5c5qoQ-08"", ""jh4fc5c5qoQ-15""]",预期相近,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""jh4fc5c5qoQ_45b6596b2c8f4336b7293cfd6d910492"", ""jh4fc5c5qoQ_755d110c2ed84d76be11ad56ae00b53f"", ""jh4fc5c5qoQ_d6d4416592a0483691a1ed7d3b336a1a""]"
