candidate,codes,manual_counts,scene_counts,outside_targets,new_to_all_english_targets,old_comparable,old_decision,hold_reasons,oos_pending,oos_by_image,review_state
G049,"[""UwV83HsGsw3-01"", ""UwV83HsGsw3-08"", ""UwV83HsGsw3-16"", ""UwV83HsGsw3-23"", ""UwV83HsGsw3-03"", ""UwV83HsGsw3-06""]","[4, 24, 5, 24, 5, 24]","{""null"": 2, ""起居与休闲"": 2, ""厨房与用餐"": 2}","[""UwV83HsGsw3-01"", ""UwV83HsGsw3-16"", ""UwV83HsGsw3-03""]","[""UwV83HsGsw3-03""]",False,待定,"[""OOS待定单列"", ""主空间或范围可比性未满足""]",True,"{""UwV83HsGsw3-01"": ""人工疑似或争议"", ""UwV83HsGsw3-08"": ""人工疑似或争议"", ""UwV83HsGsw3-16"": ""人工疑似或争议"", ""UwV83HsGsw3-23"": ""人工疑似或争议"", ""UwV83HsGsw3-03"": ""人工曾明确OOS；另有疑似意见"", ""UwV83HsGsw3-06"": ""人工疑似或争议""}",explicit_discussion
G072,"[""X7HyMhZNoso-13"", ""X7HyMhZNoso-18""]","[24, 0]","{""卫浴"": 2}","[""X7HyMhZNoso-18""]","[""X7HyMhZNoso-18""]",False,对照候选,"[""主空间或范围可比性未满足""]",False,"{""X7HyMhZNoso-13"": ""未见人工OOS记录"", ""X7HyMhZNoso-18"": ""未见人工OOS记录""}",viewed_per_user_statement
G082,"[""b8cTxDM8gDG-04"", ""b8cTxDM8gDG-10"", ""b8cTxDM8gDG-08""]","[24, 0, 0]","{""通行与连接"": 3}","[""b8cTxDM8gDG-10""]","[""b8cTxDM8gDG-10""]",False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""b8cTxDM8gDG-04"": ""未见人工OOS记录"", ""b8cTxDM8gDG-10"": ""未见人工OOS记录"", ""b8cTxDM8gDG-08"": ""未见人工OOS记录""}",viewed_per_user_statement
G087,"[""b8cTxDM8gDG-09"", ""b8cTxDM8gDG-19""]","[0, 24]","{""厨房与用餐"": 1, ""null"": 1}","[""b8cTxDM8gDG-09""]","[""b8cTxDM8gDG-09""]",False,对照候选,"[""主空间或范围可比性未满足""]",False,"{""b8cTxDM8gDG-09"": ""未见人工OOS记录"", ""b8cTxDM8gDG-19"": ""未见人工OOS记录""}",viewed_per_user_statement
G095-S1,"[""e9zR4mvMWw7-12"", ""e9zR4mvMWw7-19"", ""e9zR4mvMWw7-21""]","[0, 24, 0]","{""通行与连接"": 3}","[""e9zR4mvMWw7-12"", ""e9zR4mvMWw7-21""]","[""e9zR4mvMWw7-12"", ""e9zR4mvMWw7-21""]",False,待定,"[""主空间或范围可比性未满足""]",False,"{""e9zR4mvMWw7-12"": ""未见人工OOS记录"", ""e9zR4mvMWw7-19"": ""未见人工OOS记录"", ""e9zR4mvMWw7-21"": ""未见人工OOS记录""}",explicit_discussion
G145,"[""q9vSo1VnCiC-01"", ""q9vSo1VnCiC-02"", ""q9vSo1VnCiC-13"", ""q9vSo1VnCiC-22""]","[5, 24, 24, 0]","{""卧室"": 2, ""通行与连接"": 2}","[""q9vSo1VnCiC-01"", ""q9vSo1VnCiC-22""]","[""q9vSo1VnCiC-22""]",False,对照候选,"[""主空间或范围可比性未满足""]",False,"{""q9vSo1VnCiC-01"": ""未见人工OOS记录"", ""q9vSo1VnCiC-02"": ""未见人工OOS记录"", ""q9vSo1VnCiC-13"": ""未见人工OOS记录"", ""q9vSo1VnCiC-22"": ""未见人工OOS记录""}",viewed_per_user_statement
G147,"[""q9vSo1VnCiC-03"", ""q9vSo1VnCiC-23""]","[5, 24]","{""卫浴"": 2}","[""q9vSo1VnCiC-03""]",[],False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""q9vSo1VnCiC-03"": ""未见人工OOS记录"", ""q9vSo1VnCiC-23"": ""未见人工OOS记录""}",viewed_per_user_statement
G153,"[""q9vSo1VnCiC-09"", ""q9vSo1VnCiC-10"", ""q9vSo1VnCiC-17"", ""q9vSo1VnCiC-30""]","[24, 0, 0, 5]","{""null"": 1, ""通行与连接"": 2, ""起居与休闲"": 1}","[""q9vSo1VnCiC-10"", ""q9vSo1VnCiC-17"", ""q9vSo1VnCiC-30""]","[""q9vSo1VnCiC-10"", ""q9vSo1VnCiC-17""]",False,待定,"[""主空间或范围可比性未满足""]",False,"{""q9vSo1VnCiC-09"": ""未见人工OOS记录"", ""q9vSo1VnCiC-10"": ""未见人工OOS记录"", ""q9vSo1VnCiC-17"": ""未见人工OOS记录"", ""q9vSo1VnCiC-30"": ""未见人工OOS记录""}",viewed_per_user_statement
G166,"[""rPc6DW4iMge-05"", ""rPc6DW4iMge-06"", ""rPc6DW4iMge-22""]","[5, 24, 22]","{""卫浴"": 3}","[""rPc6DW4iMge-05""]",[],False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""rPc6DW4iMge-05"": ""未见人工OOS记录"", ""rPc6DW4iMge-06"": ""未见人工OOS记录"", ""rPc6DW4iMge-22"": ""未见人工OOS记录""}",viewed_per_user_statement
G171,"[""rPc6DW4iMge-12"", ""rPc6DW4iMge-13"", ""rPc6DW4iMge-20"", ""rPc6DW4iMge-18""]","[0, 5, 24, 0]","{""通行与连接"": 4}","[""rPc6DW4iMge-12"", ""rPc6DW4iMge-13"", ""rPc6DW4iMge-18""]","[""rPc6DW4iMge-12"", ""rPc6DW4iMge-18""]",False,待定,"[""主空间或范围可比性未满足""]",False,"{""rPc6DW4iMge-12"": ""未见人工OOS记录"", ""rPc6DW4iMge-13"": ""未见人工OOS记录"", ""rPc6DW4iMge-20"": ""未见人工OOS记录"", ""rPc6DW4iMge-18"": ""未见人工OOS记录""}",viewed_per_user_statement
G176,"[""uNb9QFRL6hY-06"", ""uNb9QFRL6hY-38"", ""uNb9QFRL6hY-49""]","[24, 0, 0]","{""卫浴"": 3}","[""uNb9QFRL6hY-38"", ""uNb9QFRL6hY-49""]","[""uNb9QFRL6hY-38"", ""uNb9QFRL6hY-49""]",False,优先候选,"[""outcome_condition_unresolved"", ""主空间或范围可比性未满足""]",False,"{""uNb9QFRL6hY-06"": ""未见人工OOS记录"", ""uNb9QFRL6hY-38"": ""未见人工OOS记录"", ""uNb9QFRL6hY-49"": ""未见人工OOS记录""}",explicit_discussion
G180,"[""uNb9QFRL6hY-11"", ""uNb9QFRL6hY-16"", ""uNb9QFRL6hY-36"", ""uNb9QFRL6hY-63"", ""uNb9QFRL6hY-73""]","[0, 0, 6, 24, 0]","{""通行与连接"": 5}","[""uNb9QFRL6hY-11"", ""uNb9QFRL6hY-16"", ""uNb9QFRL6hY-36"", ""uNb9QFRL6hY-73""]","[""uNb9QFRL6hY-11"", ""uNb9QFRL6hY-16"", ""uNb9QFRL6hY-73""]",False,待定,"[""OOS待定单列"", ""主空间或范围可比性未满足""]",True,"{""uNb9QFRL6hY-11"": ""人工疑似或争议"", ""uNb9QFRL6hY-16"": ""人工疑似或争议"", ""uNb9QFRL6hY-36"": ""人工疑似或争议"", ""uNb9QFRL6hY-63"": ""人工疑似或争议"", ""uNb9QFRL6hY-73"": ""人工疑似或争议""}",explicit_discussion
G186,"[""uNb9QFRL6hY-21"", ""uNb9QFRL6hY-39""]","[24, 0]","{""卫浴"": 2}","[""uNb9QFRL6hY-39""]","[""uNb9QFRL6hY-39""]",False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""uNb9QFRL6hY-21"": ""未见人工OOS记录"", ""uNb9QFRL6hY-39"": ""未见人工OOS记录""}",viewed_per_user_statement
G187,"[""uNb9QFRL6hY-23"", ""uNb9QFRL6hY-52""]","[0, 24]","{""起居与休闲"": 2}","[""uNb9QFRL6hY-23""]","[""uNb9QFRL6hY-23""]",True,待定,"[""OOS待定单列""]",True,"{""uNb9QFRL6hY-23"": ""人工曾明确OOS"", ""uNb9QFRL6hY-52"": ""人工曾明确OOS""}",viewed_per_user_statement
G190,"[""uNb9QFRL6hY-25"", ""uNb9QFRL6hY-46""]","[23, 0]","{""卫浴"": 2}","[""uNb9QFRL6hY-46""]","[""uNb9QFRL6hY-46""]",False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""uNb9QFRL6hY-25"": ""未见人工OOS记录"", ""uNb9QFRL6hY-46"": ""未见人工OOS记录""}",viewed_per_user_statement
G230,"[""wc2JMjhGNzB-58"", ""wc2JMjhGNzB-59""]","[0, 24]","{""卫浴"": 2}","[""wc2JMjhGNzB-58""]","[""wc2JMjhGNzB-58""]",False,对照候选,"[""主空间或范围可比性未满足""]",False,"{""wc2JMjhGNzB-58"": ""未见人工OOS记录"", ""wc2JMjhGNzB-59"": ""未见人工OOS记录""}",viewed_per_user_statement
G231,"[""x8F5xyUWy9e-01"", ""x8F5xyUWy9e-09""]","[5, 24]","{""通行与连接"": 2}","[""x8F5xyUWy9e-01""]",[],False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""x8F5xyUWy9e-01"": ""未见人工OOS记录"", ""x8F5xyUWy9e-09"": ""未见人工OOS记录""}",viewed_per_user_statement
G243,"[""yqstnuAEVhm-07"", ""yqstnuAEVhm-20"", ""yqstnuAEVhm-25""]","[6, 0, 23]","{""起居与休闲"": 2, ""工作与学习"": 1}","[""yqstnuAEVhm-07"", ""yqstnuAEVhm-20""]","[""yqstnuAEVhm-20""]",False,基础候选,"[""主空间或范围可比性未满足""]",False,"{""yqstnuAEVhm-07"": ""未见人工OOS记录"", ""yqstnuAEVhm-20"": ""未见人工OOS记录"", ""yqstnuAEVhm-25"": ""未见人工OOS记录""}",explicit_discussion
G245,"[""yqstnuAEVhm-09"", ""yqstnuAEVhm-29"", ""yqstnuAEVhm-31"", ""yqstnuAEVhm-32""]","[6, 5, 24, 24]","{""起居与休闲"": 3, ""卧室"": 1}","[""yqstnuAEVhm-09"", ""yqstnuAEVhm-29""]",[],False,待定,"[""主空间或范围可比性未满足""]",False,"{""yqstnuAEVhm-09"": ""未见人工OOS记录"", ""yqstnuAEVhm-29"": ""未见人工OOS记录"", ""yqstnuAEVhm-31"": ""未见人工OOS记录"", ""yqstnuAEVhm-32"": ""未见人工OOS记录""}",viewed_per_user_statement
G246,"[""yqstnuAEVhm-11"", ""yqstnuAEVhm-15""]","[0, 24]","{""通行与连接"": 2}","[""yqstnuAEVhm-11""]","[""yqstnuAEVhm-11""]",True,待定,"[""OOS待定单列""]",True,"{""yqstnuAEVhm-11"": ""人工曾明确OOS"", ""yqstnuAEVhm-15"": ""人工曾明确OOS""}",explicit_confirmed
