image_id,comparison_status,raw_sequence_equal,ordered_cycle_equal,declared_manifest_status,legacy_linear_gap,legacy_linear_gap_zero,legacy_metric,interpretation
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,comparable,False,False,ok,0.00095825755,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,comparable,False,False,ok,0.003313239562,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,comparable,False,False,ok,0.006793952577,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,comparable,False,False,ok,0.007467558047,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,comparable,False,False,ok,0.006574945692,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,comparable,False,False,ok,0.00607992569,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,comparable,False,False,ok,0.001604236227,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,comparable,False,False,ok,0.207770668268,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,comparable,False,False,ok,0.001742456728,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,comparable,False,False,ok,0.001552477611,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,comparable,False,False,ok,0.003399056207,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_1c21814e7e7447d5b650afdff65c287e,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,comparable,False,False,ok,0.002310883913,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,comparable,False,False,ok,0.007758914098,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_4c769d1a658d41eb995deb5b40af57a4,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,comparable,False,False,ok,0.07377472055,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
