reading,representation,comparison_status,rows
historical_pairmap_unaveraged,legacy_integer,computable,2335
historical_pairmap_unaveraged,legacy_integer,not_computable,166
historical_pairmap_unaveraged,native_uv,computable,2335
historical_pairmap_unaveraged,native_uv,not_computable,166
historical_pairmap_unaveraged,pixel_center_integer,computable,2335
historical_pairmap_unaveraged,pixel_center_integer,not_computable,166
serialized_adjacency,legacy_integer,computable,1597
serialized_adjacency,legacy_integer,not_computable,904
serialized_adjacency,native_uv,computable,1597
serialized_adjacency,native_uv,not_computable,904
serialized_adjacency,pixel_center_integer,computable,1597
serialized_adjacency,pixel_center_integer,not_computable,904
