reading,stratum,minimum_calculable_people,representation,contexts,images,buildings,spearman_rho
historical_pairmap_unaveraged,all,2,legacy_integer,224,188,22,0.16838583886358463
historical_pairmap_unaveraged,all,2,pixel_center_integer,224,188,22,0.1684235727472888
historical_pairmap_unaveraged,all,2,native_uv,224,188,22,0.18095782880413963
historical_pairmap_unaveraged,all,3,legacy_integer,172,148,17,0.188508360981427
historical_pairmap_unaveraged,all,3,pixel_center_integer,172,148,17,0.1885752218896396
historical_pairmap_unaveraged,all,3,native_uv,172,148,17,0.20584434116730774
historical_pairmap_unaveraged,all,5,legacy_integer,141,137,16,0.3165847023314163
historical_pairmap_unaveraged,all,5,pixel_center_integer,141,137,16,0.3162376056625361
historical_pairmap_unaveraged,all,5,native_uv,141,137,16,0.3252657445371838
historical_pairmap_unaveraged,C1|manual,2,legacy_integer,86,86,13,0.15419752364860012
historical_pairmap_unaveraged,C1|manual,2,pixel_center_integer,86,86,13,0.1531521167086096
historical_pairmap_unaveraged,C1|manual,2,native_uv,86,86,13,0.13912920420774566
historical_pairmap_unaveraged,C1|manual,3,legacy_integer,85,85,13,0.16905083599328638
historical_pairmap_unaveraged,C1|manual,3,pixel_center_integer,85,85,13,0.16796780792344004
historical_pairmap_unaveraged,C1|manual,3,native_uv,85,85,13,0.14735196404143053
historical_pairmap_unaveraged,C1|manual,5,legacy_integer,76,76,13,0.22734236497727206
historical_pairmap_unaveraged,C1|manual,5,pixel_center_integer,76,76,13,0.22599208911255858
historical_pairmap_unaveraged,C1|manual,5,native_uv,76,76,13,0.202406015037594
historical_pairmap_unaveraged,C1|semi,2,legacy_integer,24,24,9,-0.3272823467947313
historical_pairmap_unaveraged,C1|semi,2,pixel_center_integer,24,24,9,-0.3272823467947313
historical_pairmap_unaveraged,C1|semi,2,native_uv,24,24,9,-0.20434782608695648
historical_pairmap_unaveraged,C1|semi,3,legacy_integer,24,24,9,-0.3272823467947313
historical_pairmap_unaveraged,C1|semi,3,pixel_center_integer,24,24,9,-0.3272823467947313
historical_pairmap_unaveraged,C1|semi,3,native_uv,24,24,9,-0.20434782608695648
