base_task_id,pair_row_count,model_to_manual_n,model_to_semi_n,model_to_manual_median,model_to_semi_median,proposal_attraction_ratio_median,reference_availability,building_id,delta_shannon_entropy,delta_iou_to_gt
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,24,4,24,0.17673396678441,3.775166431889533e-17,2.1360729352579363e-16,operational_gt_available,7y3sRwLe3Va,-0.7158003854659982,0.1320394924379815
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,20,12,5,0.1370963894997615,0.0741672835066509,0.5409864094690833,operational_gt_available,7y3sRwLe3Va,0.1909542504884438,0.0662469891928266
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,20,16,20,0.02855669793214495,0.0006058003180399,0.02121394845718414,operational_gt_available,B6ByNegPMKs,-0.4498681156950466,0.2415786110991855
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,20,20,15,0.0160890063047598,0.0106167300970679,0.6598748173730921,operational_gt_available,B6ByNegPMKs,0.5623351446188083,-0.0026626703415877
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,24,0,6,,1.0134903240813529e-17,,operational_gt_available,B6ByNegPMKs,0.1249633654708461,0.1265234361849427
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,20,0,0,,,,not_evaluable,UwV83HsGsw3,-0.3465735902799727,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,28,8,7,0.10300760062122995,0.004540400218156,0.04407830287059633,operational_gt_available,UwV83HsGsw3,0.0693147180559946,0.017289350062248
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,20,4,5,0.0030370212423402,0.001233511116855,0.4061582117563684,not_evaluable;operational_gt_available,X7HyMhZNoso,-0.2864313757326657,0.0275094209437851
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,20,20,20,0.0065020648919489,0.0,0.0,operational_gt_available,Z6MFQCViBuw,0.0,0.060937617238794
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,25,25,25,0.0085762082870833,1.7554167342883506e-17,2.046844800787078e-15,operational_gt_available,Z6MFQCViBuw,0.0,0.0245219054193409
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,20,0,0,,,,operational_gt_available,q9vSo1VnCiC,1.3862943611198906,-0.0736688499831718
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,24,0,0,,,,operational_gt_available,q9vSo1VnCiC,0.5623351446188083,0.0086857762251255
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,25,0,0,,,,not_evaluable;operational_gt_available,q9vSo1VnCiC,-0.3819085009768876,0.0236575396281271
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,24,24,18,0.0920428337656783,0.0021363367639883,0.02321024545405636,not_evaluable,uNb9QFRL6hY,0.5623351446188083,
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,20,0,15,,2.4825846600201435e-17,,operational_gt_available,uNb9QFRL6hY,0.1124670289237616,0.0628587874149264
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,25,0,5,,0.0047391071921883,,operational_gt_available,uNb9QFRL6hY,0.5004024235381879,0.0426730316551692
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,24,0,24,,0.06977806503284704,,operational_gt_available,uNb9QFRL6hY,0.0,0.0309475245967754
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,25,0,20,,0.0022157602183893533,,operational_gt_available,uNb9QFRL6hY,0.0,0.0671260615487765
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,20,4,0,0.2296725954964558,,,not_evaluable,uNb9QFRL6hY,-0.408070908165115,
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,24,4,24,0.0998549784133185,0.002343166557938478,0.023465695903910483,operational_gt_available,wc2JMjhGNzB,-1.2476649250079013,0.0372664321116482
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,35,25,28,0.1551782123968282,0.001081180279381308,0.00696734588368932,not_evaluable;operational_gt_available,wc2JMjhGNzB,-0.058366191008214,0.0185929258984615
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,20,0,5,,8.777083671441753e-18,,operational_gt_available,wc2JMjhGNzB,0.5623351446188083,0.021599540416096
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,20,12,20,0.0889377745244126,0.0,0.0,operational_gt_available,wc2JMjhGNzB,-0.848766520351474,0.0344621842332563
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,25,0,20,,0.000724754222977419,,operational_gt_available,yqstnuAEVhm,0.5004024235381879,0.1230807774027038
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,20,12,20,0.0115617553771181,3.510833468576701e-17,3.036592069336634e-15,operational_gt_available,yqstnuAEVhm,-0.6408223661834905,0.135767081884227
