stage_population,correctness_cutoff,initial_correct,n,exact_proposal_retention_rate,mean_delta_U,median_delta_U,issue_report_rate
P1,0.9,False,104,0.16346153846153846,0.020433298795650486,0.0603803654307138,0.7403846153846154
P1,0.9,True,364,0.26373626373626374,-0.02215193466355426,0.0,0.4725274725274725
P1,0.95,False,182,0.13736263736263737,0.009272814488046791,0.0015775584298222001,0.7197802197802198
P1,0.95,True,286,0.3076923076923077,-0.026663962865771378,0.0,0.4125874125874126
P1,0.99,False,416,0.22115384615384615,-0.003055165289154731,0.0,0.5625
P1,0.99,True,52,0.40384615384615385,-0.08975562274034093,-0.00120822944357635,0.28846153846153844
C1,0.9,True,82,0.3780487804878049,-0.04468871730448753,-0.0193581686824616,0.4268292682926829
C1,0.95,True,82,0.3780487804878049,-0.04468871730448753,-0.0193581686824616,0.4268292682926829
C1,0.99,False,4,0.0,-0.08898188992130197,-0.057154813818607,0.75
C1,0.99,True,78,0.3974358974358974,-0.0424172725549073,-0.01713270048150415,0.41025641025641024
P1_C1,0.9,False,104,0.16346153846153846,0.020433298795650486,0.0603803654307138,0.7403846153846154
P1_C1,0.9,True,446,0.28475336322869954,-0.026295468691707905,-6.723781454687217e-05,0.4641255605381166
P1_C1,0.95,False,182,0.13736263736263737,0.009272814488046791,0.0015775584298222001,0.7197802197802198
P1_C1,0.95,True,368,0.3233695652173913,-0.030680348365702693,-0.0001141892675505,0.4157608695652174
P1_C1,0.99,False,420,0.21904761904761905,-0.0038735150475561328,0.0,0.5642857142857143
P1_C1,0.99,True,130,0.4,-0.06135261262908076,-0.0071338260446235004,0.36153846153846153
