base_task_id,condition,threshold,subset_worker_ids,valid_k,partition_status,task_crowd_structure_status,structure_reason,enumeration_truncated,cluster_membership_json,candidate_partitions_json,pairwise_metric_eligible_count,pairwise_correspondence_eligible_count,pairwise_correspondence_incompatible_count,included_in_partition_metric_average,shannon_entropy,gini_simpson,largest_mode_share,supported_multimodality,mode_count,pairwise_correspondence_disagreement,pairwise_metric_dissimilarity_all,subset_index,common_k
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.9,18;31;32;34,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.0036942999851271585,0.02231160946734136,1,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.9,18;31;32;8,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.002712656101684807,0.02149035684975753,2,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.9,18;31;34;8,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.0035104687903801204,0.019188781722804988,3,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.9,18;32;34;8,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:18""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.004124450284328396,0.021965712321505515,4,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.9,31;32;34;8,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:31"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:34"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:8""], [""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:manual:32""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.0035104687903801204,0.013604464332890606,5,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.9,11;33;36;6,4,unique,unimodal,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:11"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:33"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:36"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:6""]]","[[[""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:11"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:33"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:36"", ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f:semi:6""]]]",6,6,0,True,-0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.9,1;2;33;34,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.011269740447172069,0.02314422915490692,1,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.9,1;2;33;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""]]]",6,3,3,True,0.5623351446188083,0.375,0.75,0.0,2.0,0.011269740447172069,0.011101635990741784,2,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.9,1;2;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:2""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.008928280921722043,0.023276226008084617,3,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.9,1;33;34;37,4,unique,dominant_with_dissent,unique_complete_link_partition,False,"[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""]]","[[[""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:1"", ""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:33""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:34""], [""7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3:manual:37""]]]",6,1,5,True,1.0397207708399179,0.625,0.5,0.0,3.0,0.015007485952181376,0.02405190364587025,4,4
