population,threshold,metric,n_tasks,n_buildings,mean_difference,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,building_exact_sign_flip_p,holm_p_within_threshold
formal22_recomputed_from_frozen_pairwise,0.9,delta_shannon_entropy,22,9,0.03286643990479627,-0.15508174047624662,0.21200342129094688,0.78125,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_gini_simpson,22,9,0.020833333333333332,-0.0880952380952381,0.12380952380952379,0.734375,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_largest_mode_share,22,9,-0.006818181818181824,-0.10555555555555554,0.08409090909090908,0.953125,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_supported_multimodality,22,9,-0.03636363636363637,-0.1111111111111111,0.0,0.5,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_mode_count,22,9,0.07272727272727271,-0.30435817805383025,0.45218535469107557,0.796875,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_pairwise_correspondence_disagreement,21,9,-0.002294373557049438,-0.005146569533390617,0.00011731350926986286,0.109375,0.875
formal22_recomputed_from_frozen_pairwise,0.9,delta_pairwise_metric_dissimilarity_all,22,9,-0.0027934835267229337,-0.008072601801615127,0.0038038021661275963,0.39453125,1.0
formal22_recomputed_from_frozen_pairwise,0.9,delta_partition_failure_rate,22,9,0.0,0.0,0.0,1.0,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_shannon_entropy,22,9,0.03286643990479627,-0.14566281562619804,0.2155791182810036,0.78125,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_gini_simpson,22,9,0.020833333333333332,-0.08571986607142858,0.12763523391812867,0.734375,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_largest_mode_share,22,9,-0.006818181818181824,-0.1,0.08449025487256374,0.953125,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_supported_multimodality,22,9,-0.03636363636363637,-0.11000000000000001,0.0,0.5,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_mode_count,22,9,0.07272727272727271,-0.2948684210526315,0.4818779904306223,0.796875,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_pairwise_correspondence_disagreement,21,9,-0.002294373557049438,-0.0052215482095506515,7.257443614087472e-05,0.109375,0.875
formal22_recomputed_from_frozen_pairwise,0.925,delta_pairwise_metric_dissimilarity_all,22,9,-0.0027934835267229337,-0.007811600135521747,0.0035581973367205593,0.39453125,1.0
formal22_recomputed_from_frozen_pairwise,0.925,delta_partition_failure_rate,22,9,0.0,0.0,0.0,1.0,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_shannon_entropy,22,9,0.03286643990479627,-0.14842565725082466,0.22358505097129452,0.78125,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_gini_simpson,22,9,0.020833333333333332,-0.08611742424242426,0.12137810559006212,0.734375,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_largest_mode_share,22,9,-0.006818181818181824,-0.10005434782608695,0.08697010869565222,0.953125,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_supported_multimodality,22,9,-0.03636363636363637,-0.1111111111111111,0.0,0.5,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_mode_count,22,9,0.07272727272727271,-0.30008064516129035,0.4666666666666666,0.796875,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_pairwise_correspondence_disagreement,21,9,-0.002294373557049438,-0.0052554889487380135,-1.5199390376789269e-05,0.109375,0.875
formal22_recomputed_from_frozen_pairwise,0.93,delta_pairwise_metric_dissimilarity_all,22,9,-0.0027934835267229337,-0.008023517120410906,0.003826063919247124,0.39453125,1.0
formal22_recomputed_from_frozen_pairwise,0.93,delta_partition_failure_rate,22,9,0.0,0.0,0.0,1.0,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_shannon_entropy,22,9,0.03286643990479627,-0.14758145566769257,0.2178629501804517,0.78125,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_gini_simpson,22,9,0.020833333333333332,-0.08624999999999998,0.12065217391304349,0.734375,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_largest_mode_share,22,9,-0.006818181818181824,-0.10434782608695654,0.0857142857142857,0.953125,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_supported_multimodality,22,9,-0.03636363636363637,-0.10526315789473684,0.0,0.5,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_mode_count,22,9,0.07272727272727271,-0.30000000000000004,0.4666666666666667,0.796875,1.0
formal22_recomputed_from_frozen_pairwise,0.95,delta_pairwise_correspondence_disagreement,21,9,-0.002294373557049438,-0.005262685769295178,6.0182350725586805e-06,0.109375,0.875
formal22_recomputed_from_frozen_pairwise,0.95,delta_pairwise_metric_dissimilarity_all,22,9,-0.0027934835267229337,-0.007903726286029802,0.0035291840003104733,0.39453125,1.0
