population,threshold,metric,n_tasks,n_buildings,mean_difference,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,building_exact_sign_flip_p
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_shannon_entropy,22,9,0.03286643990479626,-0.1475814556676926,0.2178629501804517,0.78125
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_gini_simpson,22,9,0.020833333333333332,-0.08624999999999998,0.12065217391304349,0.734375
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_largest_mode_share,22,9,-0.006818181818181824,-0.10434782608695654,0.0857142857142857,0.953125
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_supported_multimodality,22,9,-0.03636363636363637,-0.10526315789473684,0.0,0.5
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_mode_count,22,9,0.07272727272727271,-0.30000000000000004,0.4666666666666667,0.796875
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_pairwise_correspondence_disagreement,21,9,-0.0022943735570494284,-0.00526268576929516,6.018235072557635e-06,0.109375
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_pairwise_metric_dissimilarity_all,22,9,-0.002793483526722924,-0.007903726286029799,0.0035291840003104863,0.39453125
inclusive25_reaggregated_from_v5_subset_reclustering,0.93,delta_partition_failure_rate,22,9,0.0,0.0,0.0,1.0
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_shannon_entropy,22,9,0.03286643990479626,-0.14990134104641864,0.2178423245221992,0.78125
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_gini_simpson,22,9,0.020833333333333332,-0.08639204545454544,0.12188020833333336,0.734375
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_largest_mode_share,22,9,-0.006818181818181824,-0.10556089743589744,0.09,0.953125
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_supported_multimodality,22,9,-0.03636363636363637,-0.1111111111111111,0.0,0.5
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_mode_count,22,9,0.07272727272727271,-0.30435817805383025,0.4644285714285719,0.796875
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_pairwise_correspondence_disagreement,21,9,-0.0022943735570494284,-0.0053495309728350425,7.594159376909946e-05,0.109375
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_pairwise_metric_dissimilarity_all,22,9,-0.002793483526722924,-0.008004432284856375,0.0037052103283554904,0.39453125
inclusive25_reaggregated_from_v5_subset_reclustering,0.95,delta_partition_failure_rate,22,9,0.0,0.0,0.0,1.0
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_shannon_entropy,21,9,-0.00598594487837888,-0.17059189305971625,0.19211169889351767,0.953125
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_gini_simpson,21,9,-0.0031746031746031763,-0.09722587719298248,0.10833333333333332,0.9765625
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_largest_mode_share,21,9,0.011904761904761899,-0.09347826086956522,0.0931818181818182,0.890625
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_supported_multimodality,21,9,-0.0380952380952381,-0.1111111111111111,0.0,0.5
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_mode_count,21,9,-2.114710523095536e-17,-0.33636363636363636,0.4095238095238095,1.0
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_pairwise_correspondence_disagreement,21,9,-0.0022943735570494284,-0.005243347385911864,2.530027431306194e-05,0.109375
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_pairwise_metric_dissimilarity_all,22,9,-0.002793483526722924,-0.007715611065572495,0.0038882302116721636,0.39453125
inclusive25_reaggregated_from_v5_subset_reclustering,0.97,delta_partition_failure_rate,22,9,0.045454545454545456,0.0,0.125,1.0
