worker_left,worker_right,co_cluster_count,comparison_count,co_cluster_rate
1,10,59,308,0.19155844155844157
1,11,34,308,0.11038961038961038
1,12,233,308,0.7564935064935064
1,13,57,308,0.18506493506493507
1,15,58,308,0.18831168831168832
1,17,65,308,0.21103896103896103
1,2,25,308,0.08116883116883117
1,28,102,308,0.33116883116883117
1,29,205,308,0.6655844155844156
1,30,259,308,0.8409090909090909
1,31,263,308,0.8538961038961039
1,32,232,308,0.7532467532467533
1,33,89,308,0.288961038961039
1,34,194,308,0.6298701298701299
1,35,267,308,0.8668831168831169
1,36,159,308,0.5162337662337663
1,37,200,308,0.6493506493506493
1,6,33,308,0.10714285714285714
1,8,54,308,0.17532467532467533
10,11,144,308,0.4675324675324675
10,12,90,308,0.2922077922077922
10,13,219,308,0.711038961038961
10,15,264,308,0.8571428571428571
10,17,148,308,0.4805194805194805
10,2,202,308,0.6558441558441559
10,28,211,308,0.685064935064935
10,29,114,308,0.37012987012987014
10,30,93,308,0.30194805194805197
10,31,75,308,0.2435064935064935
10,32,46,308,0.14935064935064934
10,33,234,308,0.7597402597402597
10,34,38,308,0.12337662337662338
10,35,72,308,0.23376623376623376
10,36,129,308,0.41883116883116883
10,37,18,308,0.05844155844155844
10,6,155,308,0.5032467532467533
10,8,252,308,0.8181818181818182
11,12,70,308,0.22727272727272727
11,13,193,308,0.6266233766233766
11,15,136,308,0.44155844155844154
11,17,110,308,0.35714285714285715
11,2,116,308,0.37662337662337664
11,28,95,308,0.30844155844155846
11,29,42,308,0.13636363636363635
11,30,44,308,0.14285714285714285
11,31,30,308,0.09740259740259741
11,32,63,308,0.20454545454545456
11,33,105,308,0.3409090909090909
11,34,15,308,0.048701298701298704
11,35,29,308,0.09415584415584416
11,36,54,308,0.17532467532467533
11,37,25,308,0.08116883116883117
11,6,256,308,0.8311688311688312
11,8,117,308,0.37987012987012986
12,13,98,308,0.3181818181818182
12,15,80,308,0.2597402597402597
12,17,112,308,0.36363636363636365
12,2,68,308,0.22077922077922077
12,28,104,308,0.33766233766233766
12,29,180,308,0.5844155844155844
12,30,221,308,0.7175324675324676
12,31,204,308,0.6623376623376623
12,32,186,308,0.6038961038961039
12,33,90,308,0.2922077922077922
12,34,149,308,0.4837662337662338
12,35,207,308,0.672077922077922
12,36,132,308,0.42857142857142855
12,37,159,308,0.5162337662337663
12,6,78,308,0.2532467532467532
12,8,74,308,0.24025974025974026
13,15,205,308,0.6655844155844156
13,17,124,308,0.4025974025974026
13,2,157,308,0.5097402597402597
13,28,168,308,0.5454545454545454
13,29,85,308,0.275974025974026
13,30,78,308,0.2532467532467532
13,31,67,308,0.21753246753246752
13,32,43,308,0.1396103896103896
13,33,182,308,0.5909090909090909
13,34,25,308,0.08116883116883117
13,35,66,308,0.21428571428571427
13,36,88,308,0.2857142857142857
13,37,24,308,0.07792207792207792
13,6,232,308,0.7532467532467533
13,8,188,308,0.6103896103896104
15,17,161,308,0.5227272727272727
15,2,220,308,0.7142857142857143
15,28,225,308,0.7305194805194806
15,29,101,308,0.32792207792207795
15,30,87,308,0.2824675324675325
15,31,69,308,0.22402597402597402
15,32,45,308,0.1461038961038961
15,33,246,308,0.7987012987012987
15,34,21,308,0.06818181818181818
15,35,67,308,0.21753246753246752
15,36,127,308,0.41233766233766234
15,37,12,308,0.03896103896103896
15,6,142,308,0.461038961038961
15,8,282,308,0.9155844155844156
17,2,233,308,0.7564935064935064
17,28,108,308,0.35064935064935066
17,29,70,308,0.22727272727272727
17,30,86,308,0.2792207792207792
17,31,62,308,0.2012987012987013
17,32,57,308,0.18506493506493507
17,33,111,308,0.36038961038961037
17,34,30,308,0.09740259740259741
17,35,64,308,0.2077922077922078
17,36,85,308,0.275974025974026
17,37,31,308,0.10064935064935066
17,6,122,308,0.3961038961038961
17,8,161,308,0.5227272727272727
2,28,165,308,0.5357142857142857
2,29,58,308,0.18831168831168832
2,30,47,308,0.1525974025974026
2,31,32,308,0.1038961038961039
2,32,27,308,0.08766233766233766
2,33,175,308,0.5681818181818182
2,34,7,308,0.022727272727272728
2,35,30,308,0.09740259740259741
2,36,82,308,0.2662337662337662
