cohort,worker_id,manual_rows,imputed_rows,clean_time_rows,excluded_or_missing_time_rows,time_status_counts,paired_rows
all26,1,80,0,79,1,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2, ""not_evaluable"": 1}",61
all26,10,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
all26,11,80,0,77,3,"{""project+task+annotator"": 49, ""eligible"": 26, ""eligible_partial_session_coverage"": 3, ""owner_valid"": 2}",61
all26,12,79,0,40,39,"{""fallback_no_direct_log"": 39, ""eligible"": 28, ""project+task+annotator"": 10, ""owner_valid"": 2}",31
all26,13,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",61
all26,14,67,0,0,67,"{""fallback_no_direct_log"": 39, ""not_evaluable"": 28}",0
all26,15,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
all26,17,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
all26,18,66,0,66,0,"{""project+task+annotator"": 38, ""eligible"": 28}",53
all26,19,38,0,38,0,"{""project+task+annotator"": 38}",27
all26,2,76,0,73,3,"{""project+task+annotator"": 48, ""eligible"": 23, ""eligible_partial_session_coverage"": 3, ""owner_valid"": 2}",56
all26,21,39,0,39,0,"{""project+task+annotator"": 39}",28
all26,26,6,0,0,6,"{""fallback_no_direct_log"": 6}",0
all26,27,67,0,66,1,"{""project+task+annotator"": 39, ""eligible"": 27, ""eligible_partial_session_coverage"": 1}",52
all26,28,78,0,78,0,"{""project+task+annotator"": 48, ""eligible"": 28, ""owner_valid"": 2}",60
all26,29,79,0,77,2,"{""project+task+annotator"": 49, ""eligible"": 26, ""not_evaluable"": 2, ""owner_valid"": 2}",58
all26,30,79,1,78,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
all26,31,84,0,31,53,"{""fallback_no_direct_log"": 39, ""eligible"": 19, ""project+task+annotator"": 10, ""eligible_partial_session_coverage"": 10, ""not_evaluable"": 4, ""owner_valid"": 2}",27
all26,32,80,0,79,1,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2, ""eligible_partial_session_coverage"": 1}",64
all26,33,80,0,80,0,"{""project+task+annotator"": 49, ""eligible"": 29, ""owner_valid"": 2}",65
all26,34,97,0,12,85,"{""fallback_no_direct_log"": 37, ""not_evaluable"": 31, ""eligible_with_protocol_deviation"": 15, ""project+task+annotator"": 10, ""fallback_annotation_missing_task_level_ambiguous"": 2, ""owner_valid"": 2}",10
all26,35,79,0,40,39,"{""fallback_no_direct_log"": 39, ""eligible"": 28, ""project+task+annotator"": 10, ""owner_valid"": 2}",33
all26,36,79,0,76,3,"{""project+task+annotator"": 48, ""eligible"": 26, ""eligible_partial_session_coverage"": 2, ""owner_valid"": 2, ""fallback_annotation_missing_task_level_ambiguous"": 1}",62
all26,37,80,1,79,0,"{""project+task+annotator"": 49, ""eligible"": 29, ""owner_valid"": 2}",63
all26,6,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
all26,8,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",61
current20,1,80,0,79,1,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2, ""not_evaluable"": 1}",61
current20,10,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
current20,11,80,0,77,3,"{""project+task+annotator"": 49, ""eligible"": 26, ""eligible_partial_session_coverage"": 3, ""owner_valid"": 2}",61
current20,12,79,0,40,39,"{""fallback_no_direct_log"": 39, ""eligible"": 28, ""project+task+annotator"": 10, ""owner_valid"": 2}",31
current20,13,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",61
current20,15,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
current20,17,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
current20,2,76,0,73,3,"{""project+task+annotator"": 48, ""eligible"": 23, ""eligible_partial_session_coverage"": 3, ""owner_valid"": 2}",56
current20,28,78,0,78,0,"{""project+task+annotator"": 48, ""eligible"": 28, ""owner_valid"": 2}",60
current20,29,79,0,77,2,"{""project+task+annotator"": 49, ""eligible"": 26, ""not_evaluable"": 2, ""owner_valid"": 2}",58
current20,30,79,1,78,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
current20,31,84,0,31,53,"{""fallback_no_direct_log"": 39, ""eligible"": 19, ""project+task+annotator"": 10, ""eligible_partial_session_coverage"": 10, ""not_evaluable"": 4, ""owner_valid"": 2}",27
current20,32,80,0,79,1,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2, ""eligible_partial_session_coverage"": 1}",64
current20,33,80,0,80,0,"{""project+task+annotator"": 49, ""eligible"": 29, ""owner_valid"": 2}",65
current20,34,97,0,12,85,"{""fallback_no_direct_log"": 37, ""not_evaluable"": 31, ""eligible_with_protocol_deviation"": 15, ""project+task+annotator"": 10, ""fallback_annotation_missing_task_level_ambiguous"": 2, ""owner_valid"": 2}",10
current20,35,79,0,40,39,"{""fallback_no_direct_log"": 39, ""eligible"": 28, ""project+task+annotator"": 10, ""owner_valid"": 2}",33
current20,36,79,0,76,3,"{""project+task+annotator"": 48, ""eligible"": 26, ""eligible_partial_session_coverage"": 2, ""owner_valid"": 2, ""fallback_annotation_missing_task_level_ambiguous"": 1}",62
current20,37,80,1,79,0,"{""project+task+annotator"": 49, ""eligible"": 29, ""owner_valid"": 2}",63
current20,6,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",63
current20,8,79,0,79,0,"{""project+task+annotator"": 49, ""eligible"": 28, ""owner_valid"": 2}",61
