variant,cohort,panel,model,workers,status,group_sizes
primary,all26,native,Q,25,singleton_rejected,
primary,all26,native,T,24,usable,10|14
primary,all26,native,S,26,usable,10|16
primary,all26,native,B,26,usable,5|21
primary,all26,native,QT,24,singleton_rejected,
primary,all26,native,QS,25,singleton_rejected,
primary,all26,native,QB,25,singleton_rejected,
primary,all26,native,TS,24,usable,9|15
primary,all26,native,TB,24,usable,11|13
primary,all26,native,SB,26,usable,21|5
primary,all26,native,QTS,24,singleton_rejected,
primary,all26,native,QTB,24,singleton_rejected,
primary,all26,native,QSB,25,singleton_rejected,
primary,all26,native,TSB,24,usable,12|12
primary,all26,native,QTSB,24,singleton_rejected,
primary,all26,native,Q_median2,25,usable,13|12
primary,all26,common,Q,24,singleton_rejected,
primary,all26,common,T,24,usable,10|14
primary,all26,common,S,24,usable,9|15
primary,all26,common,B,24,usable,4|20
primary,all26,common,QT,24,singleton_rejected,
primary,all26,common,QS,24,singleton_rejected,
primary,all26,common,QB,24,singleton_rejected,
primary,all26,common,TS,24,usable,9|15
primary,all26,common,TB,24,usable,11|13
primary,all26,common,SB,24,usable,4|20
primary,all26,common,QTS,24,singleton_rejected,
primary,all26,common,QTB,24,singleton_rejected,
primary,all26,common,QSB,24,singleton_rejected,
primary,all26,common,TSB,24,usable,12|12
primary,all26,common,QTSB,24,singleton_rejected,
primary,all26,common,Q_median2,24,usable,12|12
primary,current20,native,Q,20,singleton_rejected,
primary,current20,native,T,20,usable,8|12
primary,current20,native,S,20,usable,7|13
primary,current20,native,B,20,usable,12|8
primary,current20,native,QT,20,usable,10|10
primary,current20,native,QS,20,usable,16|4
primary,current20,native,QB,20,usable,12|8
primary,current20,native,TS,20,usable,10|10
primary,current20,native,TB,20,usable,9|11
primary,current20,native,SB,20,usable,12|8
primary,current20,native,QTS,20,usable,6|14
primary,current20,native,QTB,20,usable,7|13
primary,current20,native,QSB,20,usable,12|8
primary,current20,native,TSB,20,usable,8|12
primary,current20,native,QTSB,20,usable,8|12
primary,current20,native,Q_median2,20,usable,10|10
primary,current20,common,Q,20,singleton_rejected,
primary,current20,common,T,20,usable,8|12
primary,current20,common,S,20,usable,7|13
primary,current20,common,B,20,usable,12|8
primary,current20,common,QT,20,usable,10|10
primary,current20,common,QS,20,usable,16|4
primary,current20,common,QB,20,usable,12|8
primary,current20,common,TS,20,usable,10|10
primary,current20,common,TB,20,usable,9|11
primary,current20,common,SB,20,usable,12|8
primary,current20,common,QTS,20,usable,6|14
primary,current20,common,QTB,20,usable,7|13
primary,current20,common,QSB,20,usable,12|8
primary,current20,common,TSB,20,usable,8|12
primary,current20,common,QTSB,20,usable,8|12
primary,current20,common,Q_median2,20,usable,10|10
ospa60,all26,native,Q,25,singleton_rejected,
ospa60,all26,native,T,24,usable,10|14
ospa60,all26,native,S,26,usable,10|16
ospa60,all26,native,B,26,usable,5|21
ospa60,all26,native,QT,24,singleton_rejected,
ospa60,all26,native,QS,25,singleton_rejected,
ospa60,all26,native,QB,25,singleton_rejected,
ospa60,all26,native,TS,24,usable,9|15
ospa60,all26,native,TB,24,usable,4|20
ospa60,all26,native,SB,26,usable,21|5
ospa60,all26,native,QTS,24,singleton_rejected,
ospa60,all26,native,QTB,24,singleton_rejected,
ospa60,all26,native,QSB,25,singleton_rejected,
ospa60,all26,native,TSB,24,usable,4|20
ospa60,all26,native,QTSB,24,singleton_rejected,
ospa60,all26,native,Q_median2,25,usable,13|12
ospa60,all26,common,Q,24,singleton_rejected,
ospa60,all26,common,T,24,usable,10|14
ospa60,all26,common,S,24,usable,9|15
ospa60,all26,common,B,24,usable,4|20
ospa60,all26,common,QT,24,singleton_rejected,
ospa60,all26,common,QS,24,singleton_rejected,
ospa60,all26,common,QB,24,singleton_rejected,
ospa60,all26,common,TS,24,usable,9|15
ospa60,all26,common,TB,24,usable,4|20
ospa60,all26,common,SB,24,usable,4|20
ospa60,all26,common,QTS,24,singleton_rejected,
ospa60,all26,common,QTB,24,singleton_rejected,
ospa60,all26,common,QSB,24,singleton_rejected,
ospa60,all26,common,TSB,24,usable,4|20
ospa60,all26,common,QTSB,24,singleton_rejected,
ospa60,all26,common,Q_median2,24,usable,12|12
ospa60,current20,native,Q,20,usable,15|5
ospa60,current20,native,T,20,usable,8|12
ospa60,current20,native,S,20,usable,7|13
ospa60,current20,native,B,20,usable,2|18
ospa60,current20,native,QT,20,usable,14|6
ospa60,current20,native,QS,20,usable,16|4
ospa60,current20,native,QB,20,usable,8|12
ospa60,current20,native,TS,20,usable,10|10
ospa60,current20,native,TB,20,usable,9|11
ospa60,current20,native,SB,20,usable,2|18
ospa60,current20,native,QTS,20,usable,7|13
ospa60,current20,native,QTB,20,usable,14|6
ospa60,current20,native,QSB,20,usable,15|5
ospa60,current20,native,TSB,20,usable,8|12
ospa60,current20,native,QTSB,20,usable,8|12
ospa60,current20,native,Q_median2,20,usable,10|10
ospa60,current20,common,Q,20,usable,15|5
ospa60,current20,common,T,20,usable,8|12
ospa60,current20,common,S,20,usable,7|13
ospa60,current20,common,B,20,usable,2|18
ospa60,current20,common,QT,20,usable,14|6
ospa60,current20,common,QS,20,usable,16|4
ospa60,current20,common,QB,20,usable,8|12
ospa60,current20,common,TS,20,usable,10|10
ospa60,current20,common,TB,20,usable,9|11
ospa60,current20,common,SB,20,usable,2|18
ospa60,current20,common,QTS,20,usable,7|13
ospa60,current20,common,QTB,20,usable,14|6
ospa60,current20,common,QSB,20,usable,15|5
ospa60,current20,common,TSB,20,usable,8|12
ospa60,current20,common,QTSB,20,usable,8|12
ospa60,current20,common,Q_median2,20,usable,10|10
without_synthetic,all26,native,Q,25,singleton_rejected,
without_synthetic,all26,native,T,24,usable,10|14
without_synthetic,all26,native,S,26,usable,10|16
without_synthetic,all26,native,B,26,usable,5|21
without_synthetic,all26,native,QT,24,singleton_rejected,
without_synthetic,all26,native,QS,25,singleton_rejected,
without_synthetic,all26,native,QB,25,singleton_rejected,
without_synthetic,all26,native,TS,24,usable,9|15
without_synthetic,all26,native,TB,24,usable,4|20
without_synthetic,all26,native,SB,26,usable,22|4
without_synthetic,all26,native,QTS,24,singleton_rejected,
without_synthetic,all26,native,QTB,24,singleton_rejected,
without_synthetic,all26,native,QSB,25,singleton_rejected,
without_synthetic,all26,native,TSB,24,usable,13|11
without_synthetic,all26,native,QTSB,24,singleton_rejected,
without_synthetic,all26,native,Q_median2,25,usable,13|12
without_synthetic,all26,common,Q,24,singleton_rejected,
without_synthetic,all26,common,T,24,usable,10|14
without_synthetic,all26,common,S,24,usable,9|15
without_synthetic,all26,common,B,24,usable,4|20
without_synthetic,all26,common,QT,24,singleton_rejected,
without_synthetic,all26,common,QS,24,singleton_rejected,
without_synthetic,all26,common,QB,24,singleton_rejected,
without_synthetic,all26,common,TS,24,usable,9|15
without_synthetic,all26,common,TB,24,usable,4|20
without_synthetic,all26,common,SB,24,usable,20|4
without_synthetic,all26,common,QTS,24,singleton_rejected,
without_synthetic,all26,common,QTB,24,singleton_rejected,
without_synthetic,all26,common,QSB,24,singleton_rejected,
without_synthetic,all26,common,TSB,24,usable,13|11
without_synthetic,all26,common,QTSB,24,singleton_rejected,
without_synthetic,all26,common,Q_median2,24,usable,12|12
without_synthetic,current20,native,Q,20,singleton_rejected,
without_synthetic,current20,native,T,20,usable,8|12
without_synthetic,current20,native,S,20,usable,7|13
without_synthetic,current20,native,B,20,usable,12|8
without_synthetic,current20,native,QT,20,usable,10|10
without_synthetic,current20,native,QS,20,usable,16|4
without_synthetic,current20,native,QB,20,usable,12|8
without_synthetic,current20,native,TS,20,usable,10|10
without_synthetic,current20,native,TB,20,usable,9|11
without_synthetic,current20,native,SB,20,usable,12|8
without_synthetic,current20,native,QTS,20,usable,6|14
without_synthetic,current20,native,QTB,20,usable,8|12
without_synthetic,current20,native,QSB,20,usable,12|8
without_synthetic,current20,native,TSB,20,usable,8|12
without_synthetic,current20,native,QTSB,20,usable,8|12
without_synthetic,current20,native,Q_median2,20,usable,10|10
without_synthetic,current20,common,Q,20,singleton_rejected,
without_synthetic,current20,common,T,20,usable,8|12
without_synthetic,current20,common,S,20,usable,7|13
without_synthetic,current20,common,B,20,usable,12|8
without_synthetic,current20,common,QT,20,usable,10|10
without_synthetic,current20,common,QS,20,usable,16|4
without_synthetic,current20,common,QB,20,usable,12|8
without_synthetic,current20,common,TS,20,usable,10|10
without_synthetic,current20,common,TB,20,usable,9|11
without_synthetic,current20,common,SB,20,usable,12|8
without_synthetic,current20,common,QTS,20,usable,6|14
without_synthetic,current20,common,QTB,20,usable,8|12
without_synthetic,current20,common,QSB,20,usable,12|8
without_synthetic,current20,common,TSB,20,usable,8|12
without_synthetic,current20,common,QTSB,20,usable,8|12
without_synthetic,current20,common,Q_median2,20,usable,10|10
reviewed_quality_only,all26,native,Q,25,singleton_rejected,
reviewed_quality_only,all26,native,T,24,usable,10|14
reviewed_quality_only,all26,native,S,26,usable,10|16
reviewed_quality_only,all26,native,B,26,usable,5|21
reviewed_quality_only,all26,native,QT,24,singleton_rejected,
reviewed_quality_only,all26,native,QS,25,singleton_rejected,
reviewed_quality_only,all26,native,QB,25,singleton_rejected,
reviewed_quality_only,all26,native,TS,24,usable,9|15
reviewed_quality_only,all26,native,TB,24,usable,11|13
reviewed_quality_only,all26,native,SB,26,usable,21|5
reviewed_quality_only,all26,native,QTS,24,singleton_rejected,
reviewed_quality_only,all26,native,QTB,24,singleton_rejected,
reviewed_quality_only,all26,native,QSB,25,singleton_rejected,
reviewed_quality_only,all26,native,TSB,24,usable,12|12
reviewed_quality_only,all26,native,QTSB,24,singleton_rejected,
reviewed_quality_only,all26,native,Q_median2,25,usable,13|12
reviewed_quality_only,all26,common,Q,24,singleton_rejected,
reviewed_quality_only,all26,common,T,24,usable,10|14
reviewed_quality_only,all26,common,S,24,usable,9|15
reviewed_quality_only,all26,common,B,24,usable,4|20
reviewed_quality_only,all26,common,QT,24,singleton_rejected,
reviewed_quality_only,all26,common,QS,24,singleton_rejected,
reviewed_quality_only,all26,common,QB,24,singleton_rejected,
reviewed_quality_only,all26,common,TS,24,usable,9|15
reviewed_quality_only,all26,common,TB,24,usable,11|13
reviewed_quality_only,all26,common,SB,24,usable,4|20
reviewed_quality_only,all26,common,QTS,24,singleton_rejected,
reviewed_quality_only,all26,common,QTB,24,singleton_rejected,
reviewed_quality_only,all26,common,QSB,24,singleton_rejected,
reviewed_quality_only,all26,common,TSB,24,usable,12|12
reviewed_quality_only,all26,common,QTSB,24,singleton_rejected,
reviewed_quality_only,all26,common,Q_median2,24,usable,12|12
reviewed_quality_only,current20,native,Q,20,singleton_rejected,
reviewed_quality_only,current20,native,T,20,usable,8|12
reviewed_quality_only,current20,native,S,20,usable,7|13
reviewed_quality_only,current20,native,B,20,usable,12|8
reviewed_quality_only,current20,native,QT,20,usable,7|13
reviewed_quality_only,current20,native,QS,20,usable,7|13
reviewed_quality_only,current20,native,QB,20,usable,12|8
reviewed_quality_only,current20,native,TS,20,usable,10|10
reviewed_quality_only,current20,native,TB,20,usable,9|11
reviewed_quality_only,current20,native,SB,20,usable,12|8
reviewed_quality_only,current20,native,QTS,20,usable,5|15
reviewed_quality_only,current20,native,QTB,20,usable,8|12
reviewed_quality_only,current20,native,QSB,20,usable,12|8
reviewed_quality_only,current20,native,TSB,20,usable,8|12
reviewed_quality_only,current20,native,QTSB,20,usable,7|13
reviewed_quality_only,current20,native,Q_median2,20,usable,10|10
reviewed_quality_only,current20,common,Q,20,singleton_rejected,
reviewed_quality_only,current20,common,T,20,usable,8|12
reviewed_quality_only,current20,common,S,20,usable,7|13
reviewed_quality_only,current20,common,B,20,usable,12|8
reviewed_quality_only,current20,common,QT,20,usable,7|13
reviewed_quality_only,current20,common,QS,20,usable,7|13
reviewed_quality_only,current20,common,QB,20,usable,12|8
reviewed_quality_only,current20,common,TS,20,usable,10|10
reviewed_quality_only,current20,common,TB,20,usable,9|11
reviewed_quality_only,current20,common,SB,20,usable,12|8
reviewed_quality_only,current20,common,QTS,20,usable,5|15
reviewed_quality_only,current20,common,QTB,20,usable,8|12
reviewed_quality_only,current20,common,QSB,20,usable,12|8
reviewed_quality_only,current20,common,TSB,20,usable,8|12
reviewed_quality_only,current20,common,QTSB,20,usable,7|13
reviewed_quality_only,current20,common,Q_median2,20,usable,10|10
scope_all_historical,all26,native,Q,25,singleton_rejected,
scope_all_historical,all26,native,T,24,usable,10|14
scope_all_historical,all26,native,S,26,usable,10|16
scope_all_historical,all26,native,B,26,usable,5|21
scope_all_historical,all26,native,QT,24,singleton_rejected,
scope_all_historical,all26,native,QS,25,singleton_rejected,
scope_all_historical,all26,native,QB,25,singleton_rejected,
scope_all_historical,all26,native,TS,24,usable,14|10
scope_all_historical,all26,native,TB,24,usable,11|13
scope_all_historical,all26,native,SB,26,usable,21|5
scope_all_historical,all26,native,QTS,24,singleton_rejected,
scope_all_historical,all26,native,QTB,24,singleton_rejected,
scope_all_historical,all26,native,QSB,25,singleton_rejected,
scope_all_historical,all26,native,TSB,24,usable,13|11
scope_all_historical,all26,native,QTSB,24,singleton_rejected,
scope_all_historical,all26,native,Q_median2,25,usable,13|12
scope_all_historical,all26,common,Q,24,singleton_rejected,
scope_all_historical,all26,common,T,24,usable,10|14
scope_all_historical,all26,common,S,24,usable,11|13
scope_all_historical,all26,common,B,24,usable,4|20
scope_all_historical,all26,common,QT,24,singleton_rejected,
scope_all_historical,all26,common,QS,24,singleton_rejected,
scope_all_historical,all26,common,QB,24,singleton_rejected,
scope_all_historical,all26,common,TS,24,usable,14|10
scope_all_historical,all26,common,TB,24,usable,11|13
scope_all_historical,all26,common,SB,24,usable,4|20
scope_all_historical,all26,common,QTS,24,singleton_rejected,
scope_all_historical,all26,common,QTB,24,singleton_rejected,
scope_all_historical,all26,common,QSB,24,singleton_rejected,
scope_all_historical,all26,common,TSB,24,usable,13|11
scope_all_historical,all26,common,QTSB,24,singleton_rejected,
scope_all_historical,all26,common,Q_median2,24,usable,12|12
scope_all_historical,current20,native,Q,20,singleton_rejected,
scope_all_historical,current20,native,T,20,usable,8|12
scope_all_historical,current20,native,S,20,usable,9|11
scope_all_historical,current20,native,B,20,usable,12|8
scope_all_historical,current20,native,QT,20,usable,10|10
scope_all_historical,current20,native,QS,20,usable,16|4
scope_all_historical,current20,native,QB,20,usable,12|8
scope_all_historical,current20,native,TS,20,usable,10|10
scope_all_historical,current20,native,TB,20,usable,9|11
scope_all_historical,current20,native,SB,20,usable,12|8
scope_all_historical,current20,native,QTS,20,usable,12|8
scope_all_historical,current20,native,QTB,20,usable,7|13
scope_all_historical,current20,native,QSB,20,usable,14|6
scope_all_historical,current20,native,TSB,20,usable,8|12
scope_all_historical,current20,native,QTSB,20,usable,8|12
scope_all_historical,current20,native,Q_median2,20,usable,10|10
scope_all_historical,current20,common,Q,20,singleton_rejected,
scope_all_historical,current20,common,T,20,usable,8|12
scope_all_historical,current20,common,S,20,usable,9|11
