cohort,panel,model,config,horizon,k,comparison,bound,images,buildings,G1,ALL,G2,MIX
all26,common,B,ospa30_t6,7,2,G1|ALL,lower,1,1,0.02,0.0,,
all26,common,B,ospa30_t6,7,2,G1|ALL,upper,1,1,0.65,0.775,,
all26,common,B,ospa30_t6,7,2,G2|ALL,lower,42,13,,0.2817470862470862,0.34210547785547785,
all26,common,B,ospa30_t6,7,2,G2|ALL,upper,42,13,,0.7198432400932402,0.7659009324009324,
all26,common,B,ospa30_t6,7,2,MIX|ALL,lower,27,11,,0.25060606060606055,,0.0865909090909091
all26,common,B,ospa30_t6,7,2,MIX|ALL,upper,27,11,,0.6910606060606062,,0.607840909090909
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,lower,1,1,0.02,0.0,0.0,0.0
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,upper,1,1,0.65,0.775,0.72,0.88
all26,common,B,ospa30_t6,8,2,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,2,G1|ALL,upper,1,1,0.26,0.45,,
all26,common,B,ospa30_t6,8,2,G2|ALL,lower,41,12,,0.281564393939394,0.34898926767676763,
all26,common,B,ospa30_t6,8,2,G2|ALL,upper,41,12,,0.5120441919191919,0.5792241161616162,
all26,common,B,ospa30_t6,8,2,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,2,MIX|ALL,upper,27,11,,0.47068181818181826,,0.25803030303030305
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,upper,1,1,0.26,0.45,0.38,0.515
all26,common,B,ospa30_t6,8,3,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,3,G1|ALL,upper,1,1,0.26,0.465,,
all26,common,B,ospa30_t6,8,3,G2|ALL,lower,41,12,,0.281564393939394,0.34898926767676763,
all26,common,B,ospa30_t6,8,3,G2|ALL,upper,41,12,,0.5296483585858586,0.5933087121212121,
all26,common,B,ospa30_t6,8,3,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,3,MIX|ALL,upper,27,11,,0.4907575757575758,,0.27397727272727274
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,upper,1,1,0.26,0.465,0.38,0.52
all26,common,B,ospa30_t6,10,2,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,10,2,G1|ALL,upper,1,1,0.015,0.045,,
