worker_id,Manual有效标注数,Manual覆盖building数,难度校正质量效应,高于20人均值概率,当前分组,留一building_H次数,留一building_U次数,留一building_L次数,W034_original_only分组,跨11个building及两版本稳定类别
1,15,10,0.043388,0.996,H,11,0,0,H,H
2,14,8,0.034898,0.842,H,8,3,0,H,不稳定
6,14,10,0.005157,0.579,U,0,11,0,U,不稳定
8,13,10,0.028711,0.793,U,5,6,0,H,不稳定
10,13,10,0.006758,0.662,U,0,11,0,U,不稳定
11,15,10,-0.002104,0.428,U,0,11,0,U,U
12,15,9,0.034055,0.853,H,9,2,0,H,不稳定
13,15,10,-0.020299,0.286,U,0,9,2,U,不稳定
15,14,10,0.007844,0.658,U,1,10,0,U,不稳定
17,13,9,0.007481,0.651,U,1,10,0,H,不稳定
28,13,8,0.012769,0.68,U,1,10,0,U,不稳定
29,13,8,-0.016075,0.208,U,0,6,5,L,不稳定
30,16,10,0.008318,0.534,U,0,11,0,U,U
31,16,11,0.005642,0.741,U,1,10,0,U,不稳定
32,16,11,-0.015441,0.312,U,0,10,1,U,不稳定
33,15,11,-0.008159,0.341,U,0,11,0,U,U
34,30,11,-0.041512,0.008,L,0,0,11,L,L
35,14,9,-0.01681,0.27,U,0,9,2,U,不稳定
36,13,8,-0.039615,0.22,U,0,10,1,U,不稳定
37,16,10,-0.035004,0.028,L,0,0,11,L,L
