cohort,worker_id,semi_rows,usable_time,complete_triad
all26,1,25,23,22
all26,10,23,22,20
all26,11,22,22,21
all26,12,22,4,3
all26,13,23,23,22
all26,14,22,0,0
all26,15,22,22,19
all26,17,22,22,21
all26,18,22,22,21
all26,19,18,18,17
all26,2,23,23,22
all26,21,18,18,17
all26,26,18,0,0
all26,27,23,23,22
all26,28,23,23,22
all26,29,23,23,22
all26,30,23,13,12
all26,31,23,4,4
all26,32,23,23,22
all26,33,22,22,21
all26,34,24,0,0
all26,35,22,4,3
all26,36,22,22,21
all26,37,22,22,20
all26,6,22,22,21
all26,8,22,21,18
current20,1,25,23,22
current20,10,23,22,20
current20,11,22,22,21
current20,12,22,4,3
current20,13,23,23,22
current20,15,22,22,19
current20,17,22,22,21
current20,2,23,23,22
current20,28,23,23,22
current20,29,23,23,22
current20,30,23,13,12
current20,31,23,4,4
current20,32,23,23,22
current20,33,22,22,21
current20,34,24,0,0
current20,35,22,4,3
current20,36,22,22,21
current20,37,22,22,20
current20,6,22,22,21
current20,8,22,21,18
